direccion_original,direccion_consulta,direccion_normalizada,latitud,longitud,barrio_usig,comuna_usig,precision,estado,fecha_consulta
CORDOBA AV. 4134,CORDOBA 4134,"CORDOBA AV. 4134, CABA",-34.596996,-58.425269,,15,calle_altura,exacta,2026-06-13
SARMIENTO 4100,SARMIENTO 4100,"SARMIENTO 4100, CABA",-34.604739,-58.422702,,5,calle_altura,exacta,2026-06-13
TRIUNVIRATO AV. 3916,TRIUNVIRATO 3916,"TRIUNVIRATO AV. 3916, CABA",-34.579933,-58.475928,,15,calle_altura,exacta,2026-06-13
ACHEGA 3408;ACHEGA 3410,ACHEGA 3408,"ACHEGA 3408, CABA",-34.570585,-58.502952,,12,calle_altura,exacta,2026-06-13
CALIFORNIA 1364,CALIFORNIA 1364,"CALIFORNIA 1364, CABA",-34.64588,-58.369283,,4,calle_altura,exacta,2026-06-13
"BOCAYUVA, QUINTINO 805",BOCAYUVA 805,"BOCAYUVA, QUINTINO 805, CABA",-34.621605,-58.42226,,5,calle_altura,exacta,2026-06-13
"ALBERDI, JUAN BAUTISTA AV. 3223",ALBERDI 3223,"ALBERDI, JUAN BAUTISTA AV. 3223, CABA",-34.634472,-58.472538,,10,calle_altura,exacta,2026-06-13
ZABALA 3104,ZABALA 3104,"ZABALA 3104, CABA",-34.574693,-58.454272,,13,calle_altura,exacta,2026-06-13
NAZCA AV. 1799,NAZCA 1799,"NAZCA AV. 1799, CABA",-34.613485,-58.479645,,11,calle_altura,exacta,2026-06-13
SALTA 1344,SALTA 1344,"SALTA 1344, CABA",-34.624065,-58.382899,,1,calle_altura,exacta,2026-06-13
IBERA 2099;ARCOS 3003,IBERA 2099,"IBERA 2099, CABA",-34.551988,-58.461647,,13,calle_altura,exacta,2026-06-13
"PERON, JUAN DOMINGO, TTE. GENERAL 4361",PERON 4361,"PERON, JUAN DOMINGO, TTE. GENERAL 4361, CABA",-34.605895,-58.428509,,5,calle_altura,exacta,2026-06-13
RIVADAVIA AV. 6097,RIVADAVIA 6097,"RIVADAVIA AV. 6097, CABA",-34.624663,-58.451789,,6,calle_altura,exacta,2026-06-13
MAIPU 480,MAIPU 480,"MAIPU 480, CABA",-34.602701,-58.37673,,1,calle_altura,exacta,2026-06-13
SAN JUAN AV. 2350;SAN JUAN AV. 2354,SAN JUAN 2350,"SAN JUAN BAUTISTA DE LA SALLE AV. 2350, CABA",-34.655253,-58.471521,,9,calle_altura,exacta,2026-06-13
SAN MARTIN AV. 1602;SAN MARTIN AV. 1650,SAN MARTIN 1602,"SAN MARTIN AV. 1602, CABA",-34.606159,-58.452374,,6,calle_altura,exacta,2026-06-13
"BEIRO, FRANCISCO AV. 3487",BEIRO 3487,"BEIRO, FRANCISCO AV. 3487, CABA",-34.599718,-58.501973,,11,calle_altura,exacta,2026-06-13
"ALSINA, ADOLFO 1856",ALSINA 1856,"ALSINA, ADOLFO 1856, CABA",-34.611606,-58.392741,,3,calle_altura,exacta,2026-06-13
RODRIGUEZ PEÑA 432,RODRIGUEZ PENA 432,"RODRIGUEZ PEÑA 432, CABA",-34.603937,-58.390882,,1,calle_altura,exacta,2026-06-13
AYACUCHO 920;AYACUCHO 922,AYACUCHO 920,"AYACUCHO 920, CABA",-34.598388,-58.395981,,2,calle_altura,exacta,2026-06-13
ARENALES 1809,ARENALES 1809,"ARENALES 1809, CABA",-34.594768,-58.393522,,2,calle_altura,exacta,2026-06-13
FRAGATA Pres. SARMIENTO 891;PLANES 1400,FRAGATA PRES SARMIENTO 891,"FRAGATA PRES. SARMIENTO 891, CABA",-34.61389,-58.453292,,6,calle_altura,exacta,2026-06-13
"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 6483",FERNANDEZ DE LA CRUZ 6483,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 6483, CABA",-34.68734,-58.475244,,8,calle_altura,exacta,2026-06-13
"JAURES, JEAN 11",JAURES 11,"JAURES, JEAN 11, CABA",-34.610225,-58.410311,,3,calle_altura,exacta,2026-06-13
"BLANES, JUAN MANUEL 84",BLANES 84,"BLANES, JUAN MANUEL 84, CABA",-34.628234,-58.35957,,4,calle_altura,exacta,2026-06-13
MONROE 3627,MONROE 3627,"MONROE 3627, CABA",-34.565574,-58.471885,,12,calle_altura,exacta,2026-06-13
QUERANDIES 4399,QUERANDIES 4399,"QUERANDIES 4399, CABA",-34.611516,-58.428649,,5,calle_altura,exacta,2026-06-13
DIAZ VELEZ AV. 4302,DIAZ VELEZ 4302,"DIAZ VELEZ AV. 4302, CABA",-34.608789,-58.427859,,5,calle_altura,exacta,2026-06-13
DEL LIBERTADOR AV. 7598,DEL LIBERTADOR 7598,"DEL LIBERTADOR AV. 7598, CABA",-34.544092,-58.460549,,13,calle_altura,exacta,2026-06-13
"LARRALDE, CRISOLOGO AV. 3201",LARRALDE 3201,"LARRALDE, CRISOLOGO AV. 3201, CABA",-34.552811,-58.475247,,12,calle_altura,exacta,2026-06-13
ACEVEDO 799;ACEVEDO 795;ACEVEDO 793,ACEVEDO 799,"ACEVEDO 799, CABA",-34.595371,-58.436313,,15,calle_altura,exacta,2026-06-13
ARAOZ 1218,ARAOZ 1218,"ARAOZ 1218, CABA",-34.594078,-58.428098,,14,calle_altura,exacta,2026-06-13
CABELLO 3181,CABELLO 3181,"CABELLO 3181, CABA",-34.582062,-58.406317,,14,calle_altura,exacta,2026-06-13
"ARTIGAS, JOSE GERVASIO, GRAL. 1553;ARTIGAS, JOSE GERVASIO, GRAL. 1557",ARTIGAS 1553,"ARTIGAS, JOSE GERVASIO, GRAL. 1553, CABA",-34.613158,-58.472716,,11,calle_altura,exacta,2026-06-13
CHORROARIN AV. 1430,CHORROARIN 1430,"CHORROARIN AV. 1430, CABA",-34.579932,-58.469603,,15,calle_altura,exacta,2026-06-13
MALABIA 1311,MALABIA 1311,"MALABIA 1311, CABA",-34.592799,-58.430012,,14,calle_altura,exacta,2026-06-13
BILLINGHURST 17,BILLINGHURST 17,"BILLINGHURST 17, CABA",-34.610539,-58.415777,,5,calle_altura,exacta,2026-06-13
BAEZ 512,BAEZ 512,"BAEZ 512, CABA",-34.57079,-58.433397,,14,calle_altura,exacta,2026-06-13
"FIGUEROA, D. APOLINARIO, CORONEL 101",FIGUEROA 101,"ACUÑA DE FIGUEROA, FRANCISCO 101, CABA",-34.609807,-58.422777,,5,calle_altura,exacta,2026-06-13
MONROE 4599,MONROE 4599,"MONROE 4599, CABA",-34.571019,-58.480832,,12,calle_altura,exacta,2026-06-13
"CORRIENTES AV. 3201;CORRIENTES AV. 3217;CORRIENTES AV. 3223;CORRIENTES AV. 3231;CORRIENTES AV. 3237;CORRIENTES AV. 3247;CORRIENTES AV. 3251;CORRIENTES AV. 3277;CORRIENTES AV. 3287;CORRIENTES AV. 3293;CORRIENTES AV. 3295;CORRIENTES AV. 3299;AGUERO 511;AGUERO 521;AGUERO 531;AGUERO 541;AGUERO 551;AGUERO 561;AGUERO 571;AGUERO 581;AGUERO 591;AGUERO 603;AGUERO 611;AGUERO 621;AGUERO 631;AGUERO 641;AGUERO 651;AGUERO 671;ANCHORENA, TOMAS MANUEL DE, DR. 508;ANCHORENA, TOMAS MANUEL DE, DR. 518;ANCHORENA, TOMAS MANUEL DE, DR. 524;ANCHORENA, TOMAS MANUEL DE, DR. 528;ANCHORENA, TOMAS MANUEL DE, DR. 538;ANCHORENA, TOMAS MANUEL DE, DR. 544;ANCHORENA, TOMAS MANUEL DE, DR. 548;ANCHORENA, TOMAS MANUEL DE, DR. 554;ANCHORENA, TOMAS MANUEL DE, DR. 556;ANCHORENA, TOMAS MANUEL DE, DR. 570;ANCHORENA, TOMAS MANUEL DE, DR. 580;ANCHORENA, TOMAS MANUEL DE, DR. 590;ANCHORENA, TOMAS MANUEL DE, DR. 592;ANCHORENA, TOMAS MANUEL DE, DR. 596;LAVALLE 3110;LAVALLE 3120;LAVALLE 3134;LAVALLE 3142;LAVALLE 3150;LAVALLE 3152;LAVALLE 3158;LAVALLE 3160;LAVALLE 3170;LAVALLE 3176;LAVALLE 3180;LAVALLE 3186;LAVALLE 3190;LAVALLE 3200",CORRIENTES 3201,"CORRIENTES AV. 3201, CABA",-34.603937,-58.410772,,3,calle_altura,exacta,2026-06-13
CHILE 561;CHILE 571,CHILE 561,"CHILE 561, CABA",-34.616035,-58.374049,,1,calle_altura,exacta,2026-06-13
ECHEVERRIA 2491,ECHEVERRIA 2491,"ECHEVERRIA 2491, CABA",-34.563418,-58.45668,,13,calle_altura,exacta,2026-06-13
INDEPENDENCIA AV. 3001,INDEPENDENCIA 3001,"INDEPENDENCIA AV. 3001, CABA",-34.619665,-58.407968,,3,calle_altura,exacta,2026-06-13
SINCLAIR 3263,SINCLAIR 3263,"SINCLAIR 3263, CABA",-34.572479,-58.422031,,14,calle_altura,exacta,2026-06-13
RIVADAVIA AV. 8902,RIVADAVIA 8902,"RIVADAVIA AV. 8902, CABA",-34.635802,-58.489489,,10,calle_altura,exacta,2026-06-13
"SCALABRINI ORTIZ, RAUL AV. 2018",SCALABRINI ORTIZ 2018,"SCALABRINI ORTIZ, RAUL AV. 2018, CABA",-34.588389,-58.421316,,14,calle_altura,exacta,2026-06-13
CORRIENTES AV. 1930,CORRIENTES 1930,"CORRIENTES AV. 1930, CABA",-34.604553,-58.394371,,3,calle_altura,exacta,2026-06-13
"GOMEZ, JUAN CARLOS 62",GOMEZ 62,"GOMEZ, JUAN CARLOS 62, CABA",-34.635211,-58.391654,,4,calle_altura,exacta,2026-06-13
LA RIOJA 1733,LA RIOJA 1733,"LA RIOJA 1733, CABA",-34.631017,-58.406381,,4,calle_altura,exacta,2026-06-13
SAN PEDRITO 1279,SAN PEDRITO 1279,"SAN PEDRITO 1279, CABA",-34.644612,-58.45889,,7,calle_altura,exacta,2026-06-13
LA RIOJA 889,LA RIOJA 889,"LA RIOJA 889, CABA",-34.620675,-58.40766,,3,calle_altura,exacta,2026-06-13
SOLER 6002,SOLER 6002,"SOLER 6002, CABA",-34.57759,-58.436828,,14,calle_altura,exacta,2026-06-13
"SALGUERO, JERONIMO 183",SALGUERO 183,"SALGUERO, JERONIMO 183, CABA",-34.608835,-58.41998,,5,calle_altura,exacta,2026-06-13
ALVAREZ THOMAS AV. 1355;ALVAREZ THOMAS AV. 1357,ALVAREZ THOMAS 1355,"ALVAREZ THOMAS AV. 1355, CABA",-34.57822,-58.461101,,15,calle_altura,exacta,2026-06-13
SAENZ AV. 899,SAENZ 899,"SAENZ AV. 899, CABA",-34.650706,-58.416479,,4,calle_altura,exacta,2026-06-13
MELINCUE 3163,MELINCUE 3163,"MELINCUE 3163, CABA",-34.602559,-58.493572,,11,calle_altura,exacta,2026-06-13
TINOGASTA 5018,TINOGASTA 5018,"TINOGASTA 5018, CABA",-34.613789,-58.517514,,11,calle_altura,exacta,2026-06-13
SUAREZ 1618,SUAREZ 1618,"SUAREZ 1618, CABA",-34.638599,-58.373552,,4,calle_altura,exacta,2026-06-13
"CABRERA, JOSE A. 3301;CABRERA, JOSE A. 3307",CABRERA 3301,"CABRERA, JOSE A. 3301, CABA",-34.59677,-58.413138,,2,calle_altura,exacta,2026-06-13
AYACUCHO 1221,AYACUCHO 1221,"AYACUCHO 1221, CABA",-34.594328,-58.395797,,2,calle_altura,exacta,2026-06-13
RIOBAMBA 962,RIOBAMBA 962,"RIOBAMBA 962, CABA",-34.597778,-58.394748,,2,calle_altura,exacta,2026-06-13
FOREST AV. 1300,FOREST 1300,"FOREST AV. 1300, CABA",-34.57696,-58.461613,,15,calle_altura,exacta,2026-06-13
SARMIENTO 4199,SARMIENTO 4199,"SARMIENTO 4199, CABA",-34.604475,-58.424178,,5,calle_altura,exacta,2026-06-13
YERBAL 2601,YERBAL 2601,"YERBAL 2601, CABA",-34.628388,-58.466231,,7,calle_altura,exacta,2026-06-13
RIVADAVIA AV. 3511,RIVADAVIA 3511,"RIVADAVIA AV. 3511, CABA",-34.610762,-58.415916,,5,calle_altura,exacta,2026-06-13
BLANCO ENCALADA 2551,BLANCO ENCALADA 2551,"BLANCO ENCALADA 2551, CABA",-34.560001,-58.460484,,13,calle_altura,exacta,2026-06-13
HUMBOLDT 1877,HUMBOLDT 1877,"HUMBOLDT 1877, CABA",-34.583702,-58.433967,,14,calle_altura,exacta,2026-06-13
BAUNESS 2589,BAUNESS 2589,"BAUNESS 2589, CABA",-34.573559,-58.488792,,12,calle_altura,exacta,2026-06-13
URUGUAY 26,URUGUAY 26,"URUGUAY 26, CABA",-34.608477,-58.386327,,1,calle_altura,exacta,2026-06-13
LOPE DE VEGA AV. 2855;LOPE DE VEGA AV. 2857;LOPE DE VEGA AV. 2845,LOPE DE VEGA 2855,"LOPE DE VEGA AV. 2855, CABA",-34.61582,-58.522605,,11,calle_altura,exacta,2026-06-13
NAHUEL HUAPI 5202,NAHUEL HUAPI 5202,"NAHUEL HUAPI 5202, CABA",-34.572067,-58.490229,,12,calle_altura,exacta,2026-06-13
"SUPERI 1399;AVILES, VIRREY 3298",SUPERI 1399,"SUPERI 1399, CABA",-34.574416,-58.459256,,13,calle_altura,exacta,2026-06-13
SANTA FE AV. 4210,SANTA FE 4210,"SANTA FE AV. 4210, CABA",-34.581138,-58.421954,,14,calle_altura,exacta,2026-06-13
ESTADOS UNIDOS 1699,ESTADOS UNIDOS 1699,"ESTADOS UNIDOS 1699, CABA",-34.618932,-58.390162,,1,calle_altura,exacta,2026-06-13
"IRIARTE, GRAL. 1457",IRIARTE 1457,"IRIARTE, GRAL. 1457, CABA",-34.647611,-58.370057,,4,calle_altura,exacta,2026-06-13
CORDOBA AV. 3285,CORDOBA 3285,"CORDOBA AV. 3285, CABA",-34.59787,-58.413007,,2,calle_altura,exacta,2026-06-13
"JUSTO, JUAN B. AV. 6518",JUSTO 6518,"SUAREZ, JUSTO ANTONIO 6518, CABA",-34.665018,-58.497445,,9,calle_altura,exacta,2026-06-13
"GOYENA, PEDRO AV. 1515",GOYENA 1515,"GOYENA, PEDRO AV. 1515, CABA",-34.627778,-58.448857,,6,calle_altura,exacta,2026-06-13
MONROE 4526,MONROE 4526,"MONROE 4526, CABA",-34.570805,-58.480201,,12,calle_altura,exacta,2026-06-13
ROOSEVELT FRANKLIN D. 2531,ROOSEVELT FRANKLIN D 2531,"ROOSEVELT FRANKLIN D. 2531, CABA",-34.558287,-58.46188,,13,calle_altura,exacta,2026-06-13
ALVAREZ JONTE AV. 4431,ALVAREZ JONTE 4431,"ALVAREZ JONTE AV. 4431, CABA",-34.617531,-58.501604,,10,calle_altura,exacta,2026-06-13
MERCEDES 3102;MERCEDES 3106,MERCEDES 3102,"MERCEDES 3102, CABA",-34.606964,-58.506797,,11,calle_altura,exacta,2026-06-13
CUBA 2383;CUBA 2385,CUBA 2383,"CUBA 2383, CABA",-34.558269,-58.456991,,13,calle_altura,exacta,2026-06-13
AGUERO 235,AGUERO 235,"AGUERO 235, CABA",-34.607178,-58.41259,,3,calle_altura,exacta,2026-06-13
PUAN 483,PUAN 483,"PUAN 483, CABA",-34.628311,-58.44675,,6,calle_altura,exacta,2026-06-13
PI Y MARGALL 1226,PI Y MARGALL 1226,"PI Y MARGALL 1226, CABA",-34.630895,-58.370814,,4,calle_altura,exacta,2026-06-13
OLAZABAL 1458,OLAZABAL 1458,"OLAZABAL 1458, CABA",-34.55459,-58.448843,,13,calle_altura,exacta,2026-06-13
COLPAYO 110;COLPAYO 118,COLPAYO 110,"COLPAYO 110, CABA",-34.618642,-58.440845,,6,calle_altura,exacta,2026-06-13
"TRELLES, MANUEL R. 2250",TRELLES 2250,"TRELLES, MANUEL R. 2250, CABA",-34.602504,-58.467195,,11,calle_altura,exacta,2026-06-13
HUMAHUACA 4101,HUMAHUACA 4101,"HUMAHUACA 4101, CABA",-34.601697,-58.422522,,5,calle_altura,exacta,2026-06-13
"BONORINO, ESTEBAN, Cnel. AV. 1021;BONORINO, ESTEBAN, Cnel. AV. 1019",BONORINO 1021,"BONORINO, ESTEBAN, CNEL. AV. 1021, CABA",-34.639035,-58.453355,,7,calle_altura,exacta,2026-06-13
ORTEGA Y GASSET 1801,ORTEGA Y GASSET 1801,"ORTEGA Y GASSET 1801, CABA",-34.57007,-58.432527,,14,calle_altura,exacta,2026-06-13
SAN JOSE 733;SAN JOSE 729,SAN JOSE 733,"SAN JOSE 733, CABA",-34.617016,-58.385936,,1,calle_altura,exacta,2026-06-13
GORRITI 5737,GORRITI 5737,"GORRITI 5737, CABA",-34.583849,-58.438622,,14,calle_altura,exacta,2026-06-13
ARMENIA 1378,ARMENIA 1378,"ARMENIA 1378, CABA",-34.591588,-58.43064,,14,calle_altura,exacta,2026-06-13
MOSCONI GENERAL AV. 3200,MOSCONI 3200,"MOSCONI GENERAL AV. 3200, CABA",-34.588685,-58.506019,,12,calle_altura,exacta,2026-06-13
"ARTIGAS, JOSE GERVASIO, GRAL. 5508",ARTIGAS 5508,"ARTIGAS, JOSE GERVASIO, GRAL. 5508, CABA",-34.576953,-58.503643,,12,calle_altura,exacta,2026-06-13
"DELGADO 1208;ARREDONDO, Virrey 3507;ARREDONDO, Virrey 3509",DELGADO 1208,"DELGADO 1208, CABA",-34.577055,-58.458935,,13,calle_altura,exacta,2026-06-13
"ARANGUREN, JUAN F., Dr. 401",ARANGUREN 401,"ARANGUREN, JUAN F., DR. 401, CABA",-34.61206,-58.436852,,6,calle_altura,exacta,2026-06-13
PUAN 664;PUAN 666,PUAN 664,"PUAN 664, CABA",-34.630519,-58.445696,,7,calle_altura,exacta,2026-06-13
CHILE 1137,CHILE 1137,"CHILE 1137, CABA",-34.616467,-58.382118,,1,calle_altura,exacta,2026-06-13
"SAENZ PEÑA, ROQUE, PRES. AV. 1179",SAENZ PENA 1179,"SAENZ PEÑA, LUIS, PRES. 1179, CABA",-34.622098,-58.387242,,1,calle_altura,exacta,2026-06-13
"PINO, Virrey del 1581",PINO 1581,"PINO, VIRREY DEL 1581, CABA",-34.561326,-58.443533,,13,calle_altura,exacta,2026-06-13
"SUCRE, ANTONIO JOSE de, Mcal. 1587",SUCRE 1587,"SUCRE, ANTONIO JOSE DE, MCAL. 1587, CABA",-34.559181,-58.44712,,13,calle_altura,exacta,2026-06-13
SANTA FE AV. 2461,SANTA FE 2461,"SANTA FE AV. 2461, CABA",-34.594501,-58.401839,,2,calle_altura,exacta,2026-06-13
SAN JUAN AV. 2724,SAN JUAN 2724,"SAN JUAN AV. 2724, CABA",-34.623912,-58.402582,,3,calle_altura,exacta,2026-06-13
"BRAVO, MARIO 1021",BRAVO 1021,"BRAVO, MARIO 1021, CABA",-34.597498,-58.415792,,2,calle_altura,exacta,2026-06-13
"CALVO, CARLOS 3800",CALVO 3800,"CALVO, CARLOS 3800, CABA",-34.624635,-58.418938,,5,calle_altura,exacta,2026-06-13
JUJUY AV. 275,JUJUY 275,"JUJUY AV. 275, CABA",-34.61317,-58.405461,,3,calle_altura,exacta,2026-06-13
"ARTIGAS, JOSE GERVASIO, GRAL. 110",ARTIGAS 110,"ARTIGAS, JOSE GERVASIO, GRAL. 110, CABA",-34.627854,-58.464769,,7,calle_altura,exacta,2026-06-13
BARCO CENTENERA del 199,BARCO CENTENERA DEL 199,"BARCO CENTENERA DEL 199, CABA",-34.62189,-58.441009,,6,calle_altura,exacta,2026-06-13
AZOPARDO 473,AZOPARDO 473,"AZOPARDO 473, CABA",-34.61327,-58.367918,,1,calle_altura,exacta,2026-06-13
TRIUNVIRATO AV. 4099;LA PAMPA 4994,TRIUNVIRATO 4099,"TRIUNVIRATO AV. 4099, CABA",-34.579117,-58.478618,,15,calle_altura,exacta,2026-06-13
GUISE 1849,GUISE 1849,"GUISE 1849, CABA",-34.591536,-58.413541,,14,calle_altura,exacta,2026-06-13
IBERA 1699,IBERA 1699,"IBERA 1699, CABA",-34.549616,-58.457009,,13,calle_altura,exacta,2026-06-13
"CABRERA, JOSE A. 4002;CABRERA, JOSE A. 4008;CABRERA, JOSE A. 4014",CABRERA 4002,"CABRERA, JOSE A. 4002, CABA",-34.596369,-58.423337,,14,calle_altura,exacta,2026-06-13
COBO AV. 1257,COBO 1257,"COBO AV. 1257, CABA",-34.641772,-58.432842,,7,calle_altura,exacta,2026-06-13
REPUBLICA ARABE SIRIA 3330;REPUBLICA ARABE SIRIA 3328,REPUBLICA ARABE SIRIA 3330,"REPUBLICA ARABE SIRIA 3330, CABA",-34.57769,-58.411605,,14,calle_altura,exacta,2026-06-13
"LAMARCA, EMILIO 640",LAMARCA 640,"LAMARCA, EMILIO 640, CABA",-34.625762,-58.479943,,10,calle_altura,exacta,2026-06-13
VIAMONTE 728,VIAMONTE 728,"VIAMONTE 728, CABA",-34.600035,-58.377351,,1,calle_altura,exacta,2026-06-13
LARREA 24,LARREA 24,"LARREA 24, CABA",-34.609494,-58.401938,,3,calle_altura,exacta,2026-06-13
AVELLANEDA AV. 4199,AVELLANEDA 4199,"AVELLANEDA AV. 4199, CABA",-34.630212,-58.486901,,10,calle_altura,exacta,2026-06-13
CARABOBO AV. 320;CARABOBO AV. 320,CARABOBO 320,"CARABOBO AV. 320, CABA",-34.630602,-58.454713,,7,calle_altura,exacta,2026-06-13
"BROWN, ALTE. AV. 118",BROWN 118,"BROWN, ALTE. AV. 118, CABA",-34.627683,-58.367075,,4,calle_altura,exacta,2026-06-13
ARAOZ 2795;ARAOZ 2791,ARAOZ 2795,"ARAOZ 2795, CABA",-34.584214,-58.412699,,14,calle_altura,exacta,2026-06-13
PUEYRREDON AV. 696;PUEYRREDON AV. 700;TUCUMAN 2712,PUEYRREDON 696,"PUEYRREDON AV. 696, CABA",-34.601984,-58.404941,,3,calle_altura,exacta,2026-06-13
LA PLATA AV. 380,LA PLATA 380,"LA PLATA AV. 380, CABA",-34.619209,-58.428259,,5,calle_altura,exacta,2026-06-13
CRAMER AV. 2893,CRAMER 2893,"CRAMER AV. 2893, CABA",-34.557997,-58.467005,,13,calle_altura,exacta,2026-06-13
MIGUELETES 961,MIGUELETES 961,"MIGUELETES 961, CABA",-34.565424,-58.435797,,14,calle_altura,exacta,2026-06-13
PACHECO 2097,PACHECO 2097,"PACHECO 2097, CABA",-34.575806,-58.4816,,12,calle_altura,exacta,2026-06-13
"JUSTO, JUAN B. AV. 6925",JUSTO 6925,"SUAREZ, JUSTO ANTONIO 6925, CABA",-34.667718,-58.500771,,9,calle_altura,exacta,2026-06-13
BESARES 2619,BESARES 2619,"BESARES 2619, CABA",-34.545864,-58.472785,,12,calle_altura,exacta,2026-06-13
TALCAHUANO 379,TALCAHUANO 379,"TALCAHUANO 379, CABA",-34.604432,-58.385062,,1,calle_altura,exacta,2026-06-13
"ALBERDI, JUAN BAUTISTA AV. 6898;ALBERDI, JUAN BAUTISTA AV. 6900;ANDALGALA 1910",ALBERDI 6898,"ALBERDI, JUAN BAUTISTA AV. 6898, CABA",-34.658447,-58.511197,,9,calle_altura,exacta,2026-06-13
CABILDO AV. 3352,CABILDO 3352,"CABILDO AV. 3352, CABA",-34.551909,-58.466006,,13,calle_altura,exacta,2026-06-13
SAN JUAN AV. 500,SAN JUAN 500,"SAN JUAN AV. 500, CABA",-34.621963,-58.372593,,1,calle_altura,exacta,2026-06-13
VIAMONTE 731,VIAMONTE 731,"VIAMONTE 731, CABA",-34.599966,-58.37729,,1,calle_altura,exacta,2026-06-13
VARELA 138,VARELA 138,"VARELA 138, CABA",-34.631298,-58.464745,,7,calle_altura,exacta,2026-06-13
MALABIA 451,MALABIA 451,"MALABIA 451, CABA",-34.598578,-58.439035,,15,calle_altura,exacta,2026-06-13
CORRIENTES AV. 2104,CORRIENTES 2104,"CORRIENTES AV. 2104, CABA",-34.604619,-58.396919,,3,calle_altura,exacta,2026-06-13
COMBATE DE LOS POZOS 433,COMBATE DE LOS POZOS 433,"COMBATE DE LOS POZOS 433, CABA",-34.614324,-58.393276,,3,calle_altura,exacta,2026-06-13
AVELLANEDA 210,AVELLANEDA 210,"AVELLANEDA 210, CABA",-34.612252,-58.433318,,6,calle_altura,exacta,2026-06-13
MONROE 2457,MONROE 2457,"MONROE 2457, CABA",-34.558662,-58.460662,,13,calle_altura,exacta,2026-06-13
"GARCIA GRANDE DE ZEQUEIRA, SEVERO 7399",GARCIA GRANDE DE ZEQUEIRA 7399,"GARCIA GRANDE DE ZEQUEIRA, SEVERO 7399, CABA",-34.659433,-58.514873,,9,calle_altura,exacta,2026-06-13
"BEIRO, FRANCISCO AV. 3491",BEIRO 3491,"BEIRO, FRANCISCO AV. 3491, CABA",-34.599741,-58.50201,,11,calle_altura,exacta,2026-06-13
GAONA AV. 3999,GAONA 3999,"GAONA AV. 3999, CABA",-34.623669,-58.480711,,11,calle_altura,exacta,2026-06-13
ZAPIOLA 2328,ZAPIOLA 2328,"ZAPIOLA 2328, CABA",-34.56382,-58.4653,,13,calle_altura,exacta,2026-06-13
GAONA AV. 4002,GAONA 4002,"GAONA AV. 4002, CABA",-34.623951,-58.480931,,10,calle_altura,exacta,2026-06-13
GASCON 1417,GASCON 1417,"GASCON 1417, CABA",-34.593938,-58.422783,,14,calle_altura,exacta,2026-06-13
"PERON, JUAN DOMINGO, TTE. GENERAL 4139",PERON 4139,"PERON, JUAN DOMINGO, TTE. GENERAL 4139, CABA",-34.605909,-58.425036,,5,calle_altura,exacta,2026-06-13
CHARCAS 3667,CHARCAS 3667,"CHARCAS 3667, CABA",-34.588488,-58.416579,,14,calle_altura,exacta,2026-06-13
"GORRITI 5893;GORRITI 5899;RAVIGNANI, EMILIO, Dr. 1603",GORRITI 5893,"GORRITI 5893, CABA",-34.582617,-58.440184,,14,calle_altura,exacta,2026-06-13
SANCHEZ DE BUSTAMANTE 98,SANCHEZ DE BUSTAMANTE 98,"SANCHEZ DE BUSTAMANTE 98, CABA",-34.609402,-58.414585,,5,calle_altura,exacta,2026-06-13
CHILE 499,CHILE 499,"CHILE 499, CABA",-34.615988,-58.3729,,1,calle_altura,exacta,2026-06-13
CHACABUCO 137,CHACABUCO 137,"CHACABUCO 137, CABA",-34.609814,-58.376347,,1,calle_altura,exacta,2026-06-13
NAZCA AV. 2468;NAZCA AV. 2466,NAZCA 2468,"NAZCA AV. 2468, CABA",-34.607229,-58.485008,,11,calle_altura,exacta,2026-06-13
HUMBOLDT 1624,HUMBOLDT 1624,"HUMBOLDT 1624, CABA",-34.585395,-58.436078,,14,calle_altura,exacta,2026-06-13
JUNIN 9,JUNIN 9,"JUNIN 9, CABA",-34.609276,-58.396263,,3,calle_altura,exacta,2026-06-13
AVELLANEDA AV. 1932,AVELLANEDA 1932,"AVELLANEDA AV. 1932, CABA",-34.622099,-58.458344,,7,calle_altura,exacta,2026-06-13
"ALBERDI, JUAN BAUTISTA AV. 2501",ALBERDI 2501,"ALBERDI, JUAN BAUTISTA AV. 2501, CABA",-34.631662,-58.463245,,7,calle_altura,exacta,2026-06-13
ACOYTE 1034,ACOYTE 1034,"ACOYTE 1034, CABA",-34.606331,-58.440196,,6,calle_altura,exacta,2026-06-13
PATRON 5689;PATRON 5699;MIRALLA 294,PATRON 5689,"PATRON 5689, CABA",-34.641969,-58.508733,,9,calle_altura,exacta,2026-06-13
SUIPACHA 180,SUIPACHA 180,"SUIPACHA 180, CABA",-34.606188,-58.379357,,1,calle_altura,exacta,2026-06-13
CORRIENTES AV. 6107,CORRIENTES 6107,"CORRIENTES AV. 6107, CABA",-34.59247,-58.446643,,15,calle_altura,exacta,2026-06-13
AVELLANEDA 367,AVELLANEDA 367,"AVELLANEDA 367, CABA",-34.613075,-58.435557,,6,calle_altura,exacta,2026-06-13
CIUDAD DE LA PAZ 2461,CIUDAD DE LA PAZ 2461,"CIUDAD DE LA PAZ 2461, CABA",-34.559218,-58.460531,,13,calle_altura,exacta,2026-06-13
