direccion_original,direccion_consulta,direccion_normalizada,latitud,longitud,barrio_usig,comuna_usig,precision,estado,fecha_consulta
NOGOYA 3206;NOGOYA 3202;CUENCA 2796,NOGOYA 3206,"NOGOYA 3206, CABA",-34.60397,-58.493567,,,calle_altura,exacta,2026-06-13
BLANCO ENCALADA 1699,BLANCO ENCALADA 1699,"BLANCO ENCALADA 1699, CABA",-34.555172,-58.452369,,,calle_altura,exacta,2026-06-12
CUENCA 3422,CUENCA 3422,"CUENCA 3422, CABA",-34.598311,-58.497649,,,calle_altura,exacta,2026-06-12
AVELLANEDA 399,AVELLANEDA 399,"AVELLANEDA 399, CABA",-34.613242,-58.435955,,,calle_altura,exacta,2026-06-12
EL SALVADOR 5090,EL SALVADOR 5090,"EL SALVADOR 5090, CABA",-34.586914,-58.430924,,,calle_altura,exacta,2026-06-12
"ARTIGAS, JOSE GERVASIO, GRAL. 5224","ARTIGAS, JOSE GERVASIO, GRAL. 5224","ARTIGAS, JOSE GERVASIO, GRAL. 5224, CABA",-34.579191,-58.501617,,,calle_altura,exacta,2026-06-12
VARELA AV. 1019;VARELA AV. 1023,VARELA 1019,"VARELA AV. 1019, CABA",-34.640737,-58.457348,,,calle_altura,exacta,2026-06-13
ESTADO DE PALESTINA 642,ESTADO DE PALESTINA 642,"ESTADO DE PALESTINA 642, CABA",-34.603689,-58.425835,,,calle_altura,exacta,2026-06-12
AGUERO 446,AGUERO 446,"AGUERO 446, CABA",-34.604606,-58.411945,,,calle_altura,exacta,2026-06-12
"ARTIGAS, JOSE GERVASIO, GRAL. 5723","ARTIGAS, JOSE GERVASIO, GRAL. 5723","ARTIGAS, JOSE GERVASIO, GRAL. 5723, CABA",-34.575354,-58.504952,,,calle_altura,exacta,2026-06-12
CASTAÑARES AV. 4516,CASTAÑARES AV. 4516,"CASTAÑARES AV. 4516, CABA",-34.664835,-58.470249,,,calle_altura,exacta,2026-06-12
INDEPENDENCIA AV. 354,INDEPENDENCIA AV. 354,"INDEPENDENCIA AV. 354, CABA",-34.617272,-58.370804,,,calle_altura,exacta,2026-06-12
"MANSILLA, LUCIO NORBERTO, GENERAL 2525","MANSILLA, LUCIO NORBERTO, GENERAL 2525","MANSILLA, LUCIO NORBERTO, GENERAL 2525, CABA",-34.596393,-58.403483,,,calle_altura,exacta,2026-06-12
RIVADAVIA AV. 9377;RIVADAVIA AV. 9379,RIVADAVIA 9377,"RIVADAVIA AV. 9377, CABA",-34.636877,-58.496206,,,calle_altura,exacta,2026-06-13
DEFENSA 1444,DEFENSA 1444,"DEFENSA 1444, CABA",-34.624755,-58.371122,,,calle_altura,exacta,2026-06-12
CARRASCO AV. 23,CARRASCO AV. 23,"CARRASCO AV. 23, CABA",-34.634987,-58.487837,,,calle_altura,exacta,2026-06-12
"HOMERO 1450;PINELO, LEON 4795;PINELO, LEON 4797",HOMERO 1450,"HOMERO 1450, CABA",-34.651252,-58.484465,,,calle_altura,exacta,2026-06-13
REGIMIENTO DE PATRICIOS AV. 116,REGIMIENTO DE PATRICIOS AV. 116,"REGIMIENTO DE PATRICIOS AV. 116, CABA",-34.631018,-58.370444,,,calle_altura,exacta,2026-06-12
TRAFUL 3702,TRAFUL 3702,"TRAFUL 3702, CABA",-34.651241,-58.412885,,,calle_altura,exacta,2026-06-12
NOGOYA 3201,NOGOYA 3201,"NOGOYA 3201, CABA",-34.603886,-58.493623,,,calle_altura,exacta,2026-06-12
SAAVEDRA 344;SAAVEDRA 342,SAAVEDRA 344,"SAAVEDRA 344, CABA",-34.613859,-58.403041,,,calle_altura,exacta,2026-06-13
MORENO 828,MORENO 828,"MORENO 828, CABA",-34.611704,-58.378005,,,calle_altura,exacta,2026-06-12
AMENABAR 887,AMENABAR 887,"AMENABAR 887, CABA",-34.571427,-58.448074,,,calle_altura,exacta,2026-06-12
"LUGONES 4196;BALBIN, RICARDO, DR. AV. 4302",LUGONES 4196,"LUGONES 4196, CABA",-34.555332,-58.49232,,,calle_altura,exacta,2026-06-13
LA RIOJA 2111,LA RIOJA 2111,"LA RIOJA 2111, CABA",-34.636133,-58.405786,,,calle_altura,exacta,2026-06-12
SAN JUAN AV. 4200,SAN JUAN AV. 4200,"SAN JUAN AV. 4200, CABA",-34.626672,-58.423964,,,calle_altura,exacta,2026-06-12
PAEZ 2501,PAEZ 2501,"PAEZ 2501, CABA",-34.620495,-58.468143,,,calle_altura,exacta,2026-06-12
LINIERS VIRREY 573,LINIERS VIRREY 573,"LINIERS VIRREY 573, CABA",-34.617825,-58.414202,,,calle_altura,exacta,2026-06-12
"BROWN, ALTE. AV. 235;BROWN, ALTE. AV. 285",BROWN 235,"BROWN, ALTE. AV. 235, CABA",-34.628744,-58.366204,,,calle_altura,exacta,2026-06-13
JURAMENTO 1700,JURAMENTO 1700,"JURAMENTO 1700, CABA",-34.558065,-58.449933,,,calle_altura,exacta,2026-06-12
BELGRANO 4016,BELGRANO 4016,"BELGRANO 4016, CABA",-34.615852,-58.423161,,,calle_altura,exacta,2026-06-12
"CARRIL, SALVADOR MARIA DEL AV. 3899;CARRIL, SALVADOR MARIA DEL AV. 3891;CARRIL, SALVADOR MARIA DEL AV. 3887",CARRIL 3899,"CARRIL, SALVADOR MARIA DEL AV. 3899, CABA",-34.59865,-58.511232,,,calle_altura,exacta,2026-06-13
CHICLANA AV. 3528,CHICLANA AV. 3528,"CHICLANA AV. 3528, CABA",-34.636258,-58.41399,,,calle_altura,exacta,2026-06-12
MONROE 1598,MONROE 1598,"MONROE 1598, CABA",-34.553612,-58.451929,,,calle_altura,exacta,2026-06-12
