item,clase,coord
Q6465359,Q3257686,Point(-58.53333333 -34.68333333)
Q6465359,Q5770918,Point(-58.53333333 -34.68333333)
Q6554165,Q55488,Point(-58.5256 -34.6388)
Q18417758,Q55488,Point(-58.52013889 -34.63302778)
Q20983570,Q846659,Point(-58.525 -34.68972222)
Q38263180,Q41253,Point(-58.5264371 -34.6391346)
Q56208139,Q16970,Point(-58.528097615 -34.637896899)
Q56208139,Q102496,Point(-58.528097615 -34.637896899)
Q58404606,Q28564,Point(-58.520846 -34.646294)
Q58404606,Q385994,Point(-58.520846 -34.646294)
Q64338404,Q5728070,Point(-58.525047 -34.631413)
Q64338656,Q5728070,Point(-58.538972222 -34.707388888)
Q64338672,Q5728070,Point(-58.522733 -34.68785)
Q87729502,Q16917,Point(-58.533055555 -34.706944444)
Q87729502,Q7257872,Point(-58.533055555 -34.706944444)
Q93139730,Q16917,Point(-58.524642 -34.634055)
Q93819480,Q569500,Point(-58.531402 -34.679161)
Q93819487,Q16917,Point(-58.531318 -34.662301)
Q93820033,Q16917,Point(-58.537849 -34.694384)
Q93820489,Q16917,Point(-58.538035 -34.665171)
Q93820728,Q16917,Point(-58.530156 -34.693294)
Q93823230,Q16917,Point(-58.535904 -34.638654)
Q93823471,Q16917,Point(-58.53525 -34.688883)
Q111547619,Q174782,Point(-58.524456652 -34.628469164)
Q111591215,Q174782,Point(-58.521765971 -34.628586398)
Q111591253,Q174782,Point(-58.52051546 -34.6571621)
Q111685504,Q174782,Point(-58.520945417 -34.62835581)
Q111691686,Q174782,Point(-58.523851049 -34.630394577)
Q111694480,Q191851,Point(-58.521765969 -34.6285864)
Q111694685,Q4989906,Point(-58.524018 -34.628472)
Q111697108,Q653208,Point(-58.519905 -34.654042)
Q111697108,Q721747,Point(-58.519905 -34.654042)
Q111697386,Q331744,Point(-58.52073 -34.656713)
Q111706849,Q241045,Point(-58.522981 -34.644635)
Q111706851,Q331744,Point(-58.522981 -34.644635)
Q111708057,Q2402896,Point(-58.528996 -34.634687)
Q111708112,Q721747,Point(-58.528818 -34.643874)
Q111708237,Q653208,Point(-58.522562 -34.631979)
Q111708237,Q721747,Point(-58.522562 -34.631979)
Q111708319,Q653208,Point(-58.52164 -34.628355)
Q111708319,Q721747,Point(-58.52164 -34.628355)
Q111708320,Q331744,Point(-58.52164 -34.628355)
Q111708321,Q721747,Point(-58.52164 -34.628355)
Q111708322,Q12014132,Point(-58.52164 -34.628355)
Q111708323,Q2293362,Point(-58.52164 -34.628355)
Q114437291,Q1254933,Point(-58.5344 -34.633268)
Q126198094,Q7543083,Point(-58.525513732 -34.635285457)
Q140280338,Q9842,Point(-58.539384 -34.70469)
Q140280338,Q1080794,Point(-58.539384 -34.70469)
Q140280338,Q67388747,Point(-58.539384 -34.70469)
Q140280344,Q9842,Point(-58.537669 -34.70924)
Q140280344,Q423208,Point(-58.537669 -34.70924)
Q140280344,Q67388747,Point(-58.537669 -34.70924)
Q140280349,Q9842,Point(-58.535054 -34.708564)
Q140280349,Q423208,Point(-58.535054 -34.708564)
Q140280349,Q67388747,Point(-58.535054 -34.708564)
Q140280407,Q9842,Point(-58.533064 -34.641801)
Q140280407,Q1080794,Point(-58.533064 -34.641801)
Q140280407,Q67388747,Point(-58.533064 -34.641801)
Q140280408,Q9842,Point(-58.538305 -34.639487)
Q140280408,Q423208,Point(-58.538305 -34.639487)
Q140280408,Q67388747,Point(-58.538305 -34.639487)
Q140280411,Q9842,Point(-58.53841 -34.629309)
Q140280411,Q423208,Point(-58.53841 -34.629309)
Q140280411,Q67388747,Point(-58.53841 -34.629309)
Q140280412,Q9842,Point(-58.535309 -34.632588)
Q140280412,Q1080794,Point(-58.535309 -34.632588)
Q140280412,Q67388747,Point(-58.535309 -34.632588)
Q140280420,Q9842,Point(-58.538807 -34.622744)
Q140280420,Q1080794,Point(-58.538807 -34.622744)
Q140280420,Q67388747,Point(-58.538807 -34.622744)
Q140280421,Q9842,Point(-58.538362 -34.623016)
Q140280421,Q1080794,Point(-58.538362 -34.623016)
Q140280421,Q67388747,Point(-58.538362 -34.623016)
Q140281858,Q9842,Point(-58.536776 -34.67465)
Q140281858,Q423208,Point(-58.536776 -34.67465)
Q140281858,Q67388747,Point(-58.536776 -34.67465)
Q140281860,Q9842,Point(-58.532683 -34.671421)
Q140281860,Q1080794,Point(-58.532683 -34.671421)
Q140281860,Q67388747,Point(-58.532683 -34.671421)
Q140281861,Q9842,Point(-58.532001 -34.656081)
Q140281861,Q1080794,Point(-58.532001 -34.656081)
Q140281861,Q67388747,Point(-58.532001 -34.656081)
Q140281862,Q9842,Point(-58.531095 -34.662123)
Q140281862,Q1080794,Point(-58.531095 -34.662123)
Q140283193,Q423208,Point(-58.525066 -34.528629)
Q140283193,Q67388747,Point(-58.525066 -34.528629)
Q140283196,Q9842,Point(-58.53875 -34.541705)
Q140283196,Q1080794,Point(-58.53875 -34.541705)
Q140283196,Q67388747,Point(-58.53875 -34.541705)
Q140283199,Q9842,Point(-58.525831 -34.528597)
Q140283199,Q423208,Point(-58.525831 -34.528597)
Q140283199,Q67388747,Point(-58.525831 -34.528597)
Q140283998,Q9842,Point(-58.536766 -34.559035)
Q140283998,Q1080794,Point(-58.536766 -34.559035)
Q140283998,Q67388747,Point(-58.536766 -34.559035)
Q140284542,Q9842,Point(-58.503215 -34.706865)
Q140284542,Q423208,Point(-58.503215 -34.706865)
Q140284542,Q67388747,Point(-58.503215 -34.706865)
Q140284543,Q9842,Point(-58.51006 -34.701587)
Q140284543,Q1080794,Point(-58.51006 -34.701587)
Q140284543,Q67388747,Point(-58.51006 -34.701587)
Q140284544,Q9842,Point(-58.507441 -34.69821)
Q140284544,Q1080794,Point(-58.507441 -34.69821)
Q140284544,Q67388747,Point(-58.507441 -34.69821)
Q140284545,Q9842,Point(-58.509389 -34.698787)
Q140284545,Q423208,Point(-58.509389 -34.698787)
Q140284545,Q67388747,Point(-58.509389 -34.698787)
Q140284547,Q9842,Point(-58.48935 -34.6972)
Q140284547,Q423208,Point(-58.48935 -34.6972)
Q140284547,Q67388747,Point(-58.48935 -34.6972)
Q140284856,Q9842,Point(-58.48818 -34.698062)
Q140284856,Q1080794,Point(-58.48818 -34.698062)
Q140284856,Q67388747,Point(-58.48818 -34.698062)
Q140284960,Q9842,Point(-58.474985 -34.703122)
Q140284960,Q1080794,Point(-58.474985 -34.703122)
Q140284960,Q67388747,Point(-58.474985 -34.703122)
Q140284969,Q9842,Point(-58.489753 -34.702681)
Q140284969,Q1080794,Point(-58.489753 -34.702681)
Q140284969,Q67388747,Point(-58.489753 -34.702681)
Q140284973,Q9842,Point(-58.49724 -34.703761)
Q140284973,Q1080794,Point(-58.49724 -34.703761)
Q140284973,Q67388747,Point(-58.49724 -34.703761)
Q140284981,Q9842,Point(-58.523795 -34.561087)
Q140284981,Q1080794,Point(-58.523795 -34.561087)
Q140284981,Q67388747,Point(-58.523795 -34.561087)
Q140413090,Q159334,Point(-58.517656021 -34.709024061)
Q140413090,Q1080794,Point(-58.517656021 -34.709024061)
Q140413090,Q67388747,Point(-58.517656021 -34.709024061)
Q140413092,Q159334,Point(-58.514839721 -34.70553515)
Q140413092,Q423208,Point(-58.514839721 -34.70553515)
Q140413092,Q67388747,Point(-58.514839721 -34.70553515)
Q140413749,Q159334,Point(-58.531304748 -34.544561002)
Q140413749,Q1080794,Point(-58.531304748 -34.544561002)
Q140413749,Q67388747,Point(-58.531304748 -34.544561002)
Q140414160,Q159334,Point(-58.534932843 -34.527266137)
Q140414160,Q1080794,Point(-58.534932843 -34.527266137)
Q140414160,Q67388747,Point(-58.534932843 -34.527266137)
