avenida,largo_m,locales,por_100m,desde,hasta,barrio,x0,y0,x1,y1,avenida_l,desde_l,hasta_l,en_atlas
"CASTRO, EMILIO AV.",2950,94,3.19,ESCALADA AV.,"PAZ, GRAL. AV.",VILLA LURO,5637748.1058117645,6165881.321001664,5635162.766294059,6164461.65081687,Av. Emilio Castro,Av. Escalada,Av. Gral. Paz,False
ALVAREZ JONTE AV.,2250,92,4.09,"LAMARCA, EMILIO",VIRGILIO,VILLA DEL PARQUE,5638193.434104497,6169252.395853753,5636386.668150344,6167938.10698299,Av. Álvarez Jonte,Emilio Lamarca,Virgilio,False
"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV.",800,91,11.38,RIVADAVIA AV.,9 DE JULIO AV.,SAN NICOLAS,5649185.346369002,6169664.6679318715,5648518.314850968,6170106.129250594,Av. Pres. Roque Sáenz Peña Diagonal Norte,Av. Rivadavia,Av. 9 de Julio,True
OLAZABAL AV.,1950,89,4.56,HOLMBERG,DE LOS CONSTITUYENTES AV.,VILLA URQUIZA,5639887.291863525,6173960.518781426,5638274.2437467985,6172864.884566303,Av. Olazábal,Holmberg,Av. De los Constituyentes,True
TRIUNVIRATO AV.,1700,87,5.12,COMBATIENTES DE MALVINAS AV.,"RIVERA, PEDRO I., DR.",PARQUE CHAS,5640017.584433645,6172727.935572669,5638701.989542992,6173744.600624911,Av. Triunvirato,Av. Combatientes de Malvinas,Dr. Pedro I. Rivera,False
JURAMENTO AV.,1250,86,6.88,VERTIZ VIRREY AV.,CRAMER AV.,BELGRANO,5642255.128942649,6175305.877397197,5641228.350097114,6174593.404418266,Av. Juramento,Av. Vértiz Virrey,Av. Cramer,True
DEL LIBERTADOR AV.,1650,81,4.91,"HERNANDEZ, JOSE","UDAONDO, GUILLERMO AV.",BELGRANO,5642755.885035827,6175048.954060979,5641790.875500058,6176384.4039650615,Av. Del Libertador,José Hernandez,Av. Guillermo Udaondo,False
MOSCONI GENERAL AV.,1900,81,4.26,CARACAS,SAN NICOLAS,VILLA PUEYRREDON,5638030.751858705,6172690.602469123,5636489.466311342,6171579.681840473,Av. Mosconi General,Caracas,San Nicolás,False
"DIAZ, CNEL. AV.",1750,77,4.4,HONDURAS AV.,DEL LIBERTADOR AV.,PALERMO,5645464.862637909,6171264.926171728,5646381.407813838,6172749.255708085,Av. Cnel. Díaz,Av. Honduras,Av. Del Libertador,False
"LARRALDE, CRISOLOGO AV.",2000,76,3.8,DEL LIBERTADOR AV.,SUPERI,NUÑEZ,5641382.94646242,6176802.911050358,5639684.826430043,6175747.842202184,Av. Crisólogo Larralde,Av. Del Libertador,Superi,True
MEDRANO AV.,1500,75,5.0,CASTRO BARROS AV.,CORDOBA AV.,ALMAGRO,5644827.647251306,6169341.069323906,5644925.625973078,6170829.336037997,Av. Medrano,Av. Castro Barros,Av. Córdoba,False
REGIMIENTO DE PATRICIOS AV.,2050,73,3.56,"GARCIA, MARTIN AV.",RIO CUARTO,BARRACAS,5649413.903546822,6167269.087419887,5649616.2134350175,6165229.468209395,Av. Regimiento de Patricios,Av. Martín García,Río Cuarto,False
BOEDO AV.,1200,70,5.83,BELGRANO AV.,COCHABAMBA,ALMAGRO,5645189.826677405,6168817.619753351,5645261.589160946,6167619.807183016,Av. Boedo,Av. Belgrano,Cochabamba,True
"GALLARDO, ANGEL AV.",1350,70,5.19,ESTADO DE ISRAEL AV.,"PUEYRREDON, HONORIO, DR. AV.",VILLA CRESPO,5643817.533228708,6170400.84070621,5642598.517161816,6169843.869199227,Av. Ángel Gallardo,Av. Estado de Israel,Av. Dr. Honorio Pueyrredón,False
