avenida,largo_m,locales,por_100m,desde,hasta,barrio,x0,y0,x1,y1,avenida_l,desde_l,hasta_l,en_atlas
"CHENAUT, INDALESIO, GRAL. AV.",700,24,3.43,"CAMPOS, LUIS M. AV.","CAMPOS, LUIS M. AV.",PALERMO,5643794.336620619,6173692.700717843,5643785.763919069,6173706.2295148205,Av. Gral. Indalesio Chenaut,Av. Luis M. Campos,Av. Luis M. Campos,True
"BALBIN, RICARDO, DR. AV.",550,24,4.36,MELIAN AV.,ESTOMBA,COGHLAN,5639667.454433691,6175442.152426297,5639180.697810843,6175698.1194958165,Av. Dr. Ricardo Balbín,Av. Melián,Estomba,False
LOPE DE VEGA AV.,450,23,5.11,"BEIRO, FRANCISCO AV.","PAZ, GRAL. AV.",VILLA REAL,5635274.50992897,6169205.909110572,5634938.723267852,6169505.216967462,Av. Lope de Vega,Av. Francisco Beiró,Av. Gral. Paz,False
FOREST AV.,650,23,3.54,GIRIBONE,DE LOS INCAS AV.,CHACARITA,5641400.912108771,6172922.162411389,5641012.09774498,6173442.343001229,Av. Forest,Giribone,Av. De los Incas,False
ESCALADA AV.,750,23,3.07,OLIVERA AV.,DERQUI AV.,PARQUE AVELLANEDA,5639319.653436013,6164405.50330226,5639853.238866035,6163878.550824996,Av. Escalada,Av. Olivera,Av. Derqui,False
"ALVAREZ, DONATO, TTE. GRAL. AV.",400,23,5.75,"MAGARIÑOS CERVANTES, A.",SAN MARTIN AV.,VILLA GRAL. MITRE,5640924.965344512,6170074.582587026,5640778.8071876485,6170446.9230641285,Av. Tte. Gral. Donato Álvarez,A. Magariños Cervantes,Av. San Martín,False
"BROWN, ALTE. AV.",750,23,3.07,"GARCIA, MARTIN AV.","PEREZ GALDOS, BENITO AV.",BOCA,5649685.6678513065,6167475.64168079,5650264.841652118,6166999.246735936,Av. Alte. Brown,Av. Martín García,Av. Benito Pérez Galdós,False
"JUSTO, JUAN B. AV.",700,23,3.29,LOYOLA,CAMARGO,VILLA CRESPO,5643115.142656612,6171550.413607247,5642571.59354564,6171109.332636163,Av. Juan B. Justo,Loyola,Camargo,False
SAN MARTIN AV.,650,22,3.38,LLAVALLOL,"LOPEZ, CARLOS ANTONIO",VILLA DEVOTO,5637050.6367953215,6171455.48481484,5636456.742465611,6171718.82725756,Av. San Martín,Llavallol,Carlos Antonio López,False
"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",700,22,3.14,"GORDILLO, TIMOTEO",SALADILLO,VILLA RIACHUELO,5639930.849381095,6161203.024557696,5639450.570452651,6160693.777907587,Av. Gral. F. Fernández de la Cruz,Timoteo Gordillo,Saladillo,False
SAN PEDRITO AV.,450,22,4.89,RIVADAVIA AV.,"BONIFACIO, JOSE",FLORES,5640334.633104159,6167276.692295795,5640484.113522719,6166852.245125527,Av. San Pedrito,Av. Rivadavia,José Bonifacio,False
DE LOS CORRALES AV.,600,21,3.5,"CARDENAS, CNEL. AV.",CAÑADA DE GOMEZ,MATADEROS,5637235.745010207,6163538.13180287,5637299.18559762,6163616.259210492,Av. De los Corrales,Av. Cnel. Cárdenas,Cañada de Gómez,False
"FALCON, RAMON L.,CNEL. AV.",450,21,4.67,ESCALADA AV.,ARAUJO,VILLA LURO,5637200.252228868,6166411.982170175,5636886.690554425,6166336.753835179,Av. Cnel. Ramón L. Falcón,Av. Escalada,Araujo,True
SEGUROLA AV.,750,21,2.8,GUALEGUAYCHU,"JUSTO, JUAN B. AV.",FLORESTA,5638880.039392428,6167213.898856497,5638347.428037845,6167741.937257921,Av. Segurola,Gualeguaychu,Av. Juan B. Justo,False
PASEO COLON AV.,750,20,2.67,LA RABIDA (S) AV.,INDEPENDENCIA AV.,MONSERRAT,5649545.716743401,6169443.619966416,5649547.5178663265,6168693.823223682,Av. Paseo Colón,Av. La Rábida (s),Av. Independencia,False
"JUSTO, JUAN B. AV.",500,20,4.0,"CORRO, MIGUEL C. DEL, CANONIGO AV.","DIAZ, CESAR, GRAL. AV.",VELEZ SARSFIELD,5637521.15507809,6167186.23959685,5637072.451644306,6166965.802329165,Av. Juan B. Justo,Av. Canónigo Miguel C. del Corro,Av. Gral. César Díaz,False
ELCANO AV.,550,20,3.64,ALVAREZ THOMAS AV.,FRAGA,VILLA ORTUZAR,5641258.9531160975,6173078.87811155,5641250.029683988,6172528.9505053535,Av. Elcano,Av. Álvarez Thomas,Fraga,False
9 DE JULIO AV.,650,19,2.92,"PERON, JUAN DOMINGO, TTE. GENERAL",MORENO,SAN NICOLAS,5648481.625741435,6169913.060017053,5648501.935033338,6169263.446660914,Av. 9 de Julio,Tte. General Juan Domingo Perón,Moreno,False
"MOREAU DE JUSTO, ALICIA AV.",500,19,3.8,"MADERO, EDUARDO AV.","HUERGO, ING. AV.",PUERTO MADERO,5649813.137595785,6169782.7192055015,5649851.830491261,6169284.225331319,Av. Alicia Moreau de Justo,Av. Eduardo Madero,Av. Ing. Huergo,False
"PUEYRREDON, HONORIO, DR. AV.",600,19,3.17,ARENGREEN,AVELLANEDA,CABALLITO,5642796.318355885,6169482.348229049,5643028.5209209,6168937.654726755,Av. Dr. Honorio Pueyrredón,Arengreen,Avellaneda,False
OLLEROS AV.,700,19,2.71,MIGUELETES,DEL LIBERTADOR AV.,PALERMO,5643402.439213868,6174602.675356558,5643507.83238012,6174689.869552156,Av. Olleros,Migueletes,Av. Del Libertador,True
CARRASCO AV.,550,18,3.27,RIVADAVIA AV.,OLIVIERI,VELEZ SARSFIELD,5638670.4393569715,6166806.622699725,5638278.797206099,6167192.739092556,Av. Carrasco,Av. Rivadavia,Olivieri,False
WARNES AV.,400,18,4.5,"GANDHI, MAHATMA",ACOYTE,VILLA CRESPO,5643053.0934242895,6170306.349751943,5642695.871648668,6170485.812958796,Av. Warnes,Mahatma Gandhi,Acoyte,True
"MOREAU DE JUSTO, ALICIA AV.",500,18,3.6,"MADERO, EDUARDO AV.","HUERGO, ING. AV.",PUERTO MADERO,5649805.380187574,6169782.222409496,5649843.947660149,6169283.719729346,Av. Alicia Moreau de Justo,Av. Eduardo Madero,Av. Ing. Huergo,False
AVELLANEDA AV.,550,17,3.09,"ALVAREZ, DONATO, TTE. GRAL.",GAVILAN,FLORES,5641526.488991404,6168283.782080342,5641017.008814965,6168076.767668501,Av. Avellaneda,Tte. Gral. Donato Álvarez,Gavilán,False
LASTRA AV.,550,17,3.09,"BEIRO, FRANCISCO AV.","CARRIL, SALVADOR MARIA DEL AV.",VILLA DEVOTO,5635926.413100816,6169670.330229674,5635514.532259553,6170020.228550845,Av. Lastra,Av. Francisco Beiró,Av. Salvador María del Carril,False
CASEROS AV.,400,17,4.25,BOLIVAR,BOLIVAR,BARRACAS,5649194.271264386,6167572.0942127695,5649189.500115683,6167579.73922361,Av. Caseros,Bolívar,Bolívar,True
PASEO COLON AV.,600,17,2.83,LA RABIDA (S) AV.,CHILE AV.,MONSERRAT,5649559.228157975,6169417.234464925,5649577.647437085,6168817.636244653,Av. Paseo Colón,Av. La Rábida (s),Av. Chile,False
"MOREAU DE JUSTO, ALICIA AV.",400,16,4.0,"MADERO, EDUARDO AV.","MADERO, EDUARDO AV.",PUERTO MADERO,5649765.325600403,6170365.518237884,5649797.224810064,6169966.797820247,Av. Alicia Moreau de Justo,Av. Eduardo Madero,Av. Eduardo Madero,False
"JUSTO, JUAN B. AV.",450,16,3.56,HONDURAS,CORDOBA AV.,PALERMO,5643577.468801223,6172227.554260662,5643291.40965615,6171898.29833182,Av. Juan B. Justo,Honduras,Av. Córdoba,False
ROOSEVELT FRANKLIN D. AV.,400,15,3.75,BUCARELLI,DIAZ COLODRERO,VILLA URQUIZA,5638610.005944188,6173501.690045061,5638946.606124204,6173717.787476176,Av. Roosevelt Franklin D.,Bucarelli,Díaz Colodrero,True
CERVIÑO AV.,500,15,3.0,"KENNEDY, JOHN FITZGERALD","BULLRICH, INT. AV.",PALERMO,5644990.006344571,6173245.516755139,5644532.321980639,6173440.842586441,Av. Cerviño,John Fitzgerald Kennedy,Av. Int. Bullrich,False
DIRECTORIO AV.,550,15,2.73,BARADERO,LACARRA AV.,FLORESTA,5639813.390128599,6166432.179932922,5639367.852553592,6166109.866987292,Av. Directorio,Baradero,Av. Lacarra,False
RIESTRA AV.,550,15,2.73,OLIDEN,"DELLEPIANE, LUIS, TTE. GRAL.",VILLA LUGANO,5639798.094909185,6162194.159682688,5639416.689632669,6161797.996380269,Av. Riestra,Oliden,Tte. Gral. Luis Dellepiane,False
CASTAÑARES AV.,500,14,2.8,ESCALADA AV.,"DELLEPIANE, LUIS, TTE. GRAL.",VILLA LUGANO,5640194.092696474,6163474.199870068,5639839.975570077,6163121.211119424,Av. Castañares,Av. Escalada,Tte. Gral. Luis Dellepiane,False
"PERON, EVA AV.",550,14,2.55,"DELLEPIANE, LUIS, TTE. GRAL.",EL TALA,FLORES,5640913.0098802075,6165788.759752952,5640481.481608308,6165473.495598897,Av. Eva Perón,Tte. Gral. Luis Dellepiane,El Tala,False
MENDOZA AV.,450,14,3.11,ANDONAEGUI,TRIUNVIRATO AV.,VILLA URQUIZA,5638811.150940493,6173018.3625534475,5639186.650953418,6173266.328237498,Av. Mendoza,Andonaegui,Av. Triunvirato,False
DE LOS CONSTITUYENTES AV.,550,14,2.55,"TAMBORINI, JOSE PASCUAL","PAZ, GRAL. AV.",VILLA URQUIZA,5637271.012813273,6173740.8417856665,5636825.269391616,6174062.868377906,Av. De los Constituyentes,José Pascual Tamborini,Av. Gral. Paz,False
DIRECTORIO AV.,500,13,2.6,BRUIX AV.,BASUALDO,PARQUE AVELLANEDA,5638700.627852524,6165433.629824635,5638348.281408312,6165078.890205265,Av. Directorio,Av. Bruix,Basualdo,False
CONGRESO AV.,500,13,2.6,PLAZA,MILLER,VILLA URQUIZA,5639504.53182734,6174650.439623439,5639076.989019974,6174391.207102955,Av. Congreso,Plaza,Miller,True
PAVON AV.,450,13,2.89,BOEDO AV.,TREINTA Y TRES ORIENTALES,BOEDO,5645214.647633164,6167253.37561345,5644768.349055909,6167196.170204333,Av. Pavón,Av. Boedo,Treinta y Tres Orientales,False
ESCALADA AV.,400,12,3.0,"CASTRO, EMILIO AV.",BRUIX AV.,VILLA LURO,5637821.27479195,6165876.75890621,5638106.5369841065,6165596.388633902,Av. Escalada,Av. Emilio Castro,Av. Bruix,False
"MOREAU DE JUSTO, ALICIA AV.",400,12,3.0,"HUERGO, ING. AV.","HUERGO, ING. AV.",PUERTO MADERO,5649894.729498134,6168389.695512027,5649926.047838769,6167991.00902756,Av. Alicia Moreau de Justo,Av. Ing. Huergo,Av. Ing. Huergo,False
GAONA AV.,500,11,2.2,"JUSTO, JUAN B. AV.","JUSTO, JUAN B. AV.",FLORESTA,5638737.049588767,6167774.810560995,5638286.761912074,6167557.4820449045,Av. Gaona,Av. Juan B. Justo,Av. Juan B. Justo,False
CHICLANA AV.,400,11,2.75,CASEROS AV.,ALAGON,NUEVA POMPEYA,5645007.278313197,6166242.918776446,5644717.036439781,6165967.716784005,Av. Chiclana,Av. Caseros,Alagon,False
DEL LIBERTADOR AV.,450,11,2.44,"LACROZE, FEDERICO",VERTIZ VIRREY AV.,PALERMO,5643286.911203059,6174757.727298279,5642851.627948191,6174865.09339725,Av. Del Libertador,Federico Lacroze,Av. Vértiz Virrey,True
OLIVERA AV.,600,10,1.67,"ALBERDI, JUAN BAUTISTA AV.",DIRECTORIO AV.,VELEZ SARSFIELD,5638798.815385901,6166272.181813879,5638938.27336985,6165688.698178767,Av. Olivera,Av. Juan Bautista Alberdi,Av. Directorio,False
"GARAY, JUAN DE AV.",550,9,1.64,MATHEU,CHICLANA AV.,SAN CRISTOBAL,5646857.479985333,6167431.527175985,5646311.529474603,6167365.013382189,Av. Juan de Garay,Matheu,Av. Chiclana,False
"MONTES DE OCA, MANUEL AV.",400,9,2.25,,"IRIARTE, GRAL.",BARRACAS,5649121.952815752,6165604.775003289,5649176.551289041,6165208.903478203,Av. Manuel Montes de Oca,,Gral. Iriarte,False
"MONTES DE OCA, MANUEL AV.",400,9,2.25,,"IRIARTE, GRAL.",BARRACAS,5649133.59707119,6165606.567797308,5649184.279952074,6165210.07209225,Av. Manuel Montes de Oca,,Gral. Iriarte,False
