hito_id,nombre,tipo,direccion,que_pasa
DIR-026,Gran Café Gardel,Café histórico sin registro oficial,ochava Av. Entre Ríos e Independencia,entra: faltaba en la capa que leen las páginas
DIR-027,Centro Asturiano de Buenos Aires,Casa regional con comedor,Solis 475,entra: faltaba en la capa que leen las páginas
DIR-028,Centro Laurak Bat (Restaurante Haritz),Casa regional con comedor,Av. Belgrano 1144,entra: faltaba en la capa que leen las páginas
DIR-029,Casal de Catalunya,Casa regional con comedor,Chacabuco 863,entra: faltaba en la capa que leen las páginas
H094,Bar Iberia,Bar Notable,Av. de Mayo 1196,entra: faltaba en la capa que leen las páginas
H032,Roma del Abasto,,Anchorena 806,"cambia de punto 6,142.2 m · antes «Café Roma» San Luis 3101"
H060,La Academia,,Montevideo 341,cambia de punto 278.4 m · antes «La Academia» Av. Callao 368
