polo_id,locales,ha,locales_x_ha,barrio_principal,barrios,n_barrios,corroborados,grupo_dominante,peso_grupo_dominante,abiertos,hull_degenerado,puntos_en_envolvente,aptos_en_envolvente,share_aptos,control_aptitud,comuna,clase_densidad,pct_ya_publicado,zonas_que_contiene,es_nuevo,anada_relevamiento,anada_pct_dominante,anada_mixta,anadas,pct_puntos_del_relevamiento,rectangularidad,pct_perimetro_en_ejes,pct_perimetro_sobre_borde_barrio,vertices,barrio_k,cobertura_barrio,composicion_barrio,pasa_fuente,pasa_grilla,pasa_cobertura,pasa_cobertura_dos_colas,pruebas_que_pasa,locales_sin_rus,densidad_sin_rus,clase_sin_rus,dist_al_corte,cambio_de_clase
P043,161,91.566,1.758,Villa Gral. Mitre,Villa Gral. Mitre;Villa Crespo;Paternal,4,20,GCBA_URBANISMO,0.416,79,False,195,194,0.995,True,15.0,C · concentración extendida,63.1,,False,2023,62.1,True,2023:100;2022:61,41.6,0.401,28.3,4.5,16,VILLA GRAL. MITRE,2.36,149.2,True,True,True,True,3,94,1.027,C · concentración extendida,0.529,False
P082,160,42.403,3.773,Almagro,Almagro,1,35,GCBA_URBANISMO,0.45,72,False,188,186,0.989,True,5.0,C · concentración extendida,87.1,,False,2023,100.0,False,2023:160,45.0,0.587,14.7,0.0,14,ALMAGRO,2.32,197.1,True,True,True,True,3,88,2.075,C · concentración extendida,0.152,False
P076,156,29.178,5.347,Recoleta,Recoleta;Palermo;Almagro,3,44,GCBA_URBANISMO,0.429,77,False,169,166,0.982,True,2.0,B · concentración media,0.0,,True,2024,98.1,True,2024:153;2023:3,42.9,0.402,0.0,7.2,14,RECOLETA,2.75,229.5,True,True,True,True,3,89,3.05,C · concentración extendida,0.142,True
P068,156,40.136,3.887,Chacarita,Chacarita;Colegiales,2,31,GCBA_URBANISMO,0.404,82,False,184,180,0.978,True,15.0,C · concentración extendida,78.9,,False,2023,100.0,False,2023:156,40.4,0.561,3.7,11.6,17,CHACARITA,2.58,180.4,True,True,True,True,3,93,2.317,C · concentración extendida,0.131,False
P045,147,63.36,2.32,Villa Ortuzar,Villa Ortuzar;Parque Chas;Villa Urquiza,3,37,GCBA_URBANISMO,0.415,72,False,172,170,0.988,True,15.0,C · concentración extendida,39.7,,False,2023,73.5,True,2023:108;2022:39,41.5,0.392,15.4,6.4,14,VILLA ORTUZAR,2.32,172.1,True,True,True,True,3,86,1.357,C · concentración extendida,0.424,False
P072-6,146,7.737,18.87,Belgrano,Belgrano,1,19,OSM,0.726,110,False,147,145,0.986,True,13.0,A · concentración densa,61.7,,False,2023,100.0,False,2023:146,21.9,0.415,0.0,0.0,14,BELGRANO,2.9,275.4,False,True,True,False,2,114,14.734,A · concentración densa,1.944,False
P037,142,40.811,3.479,Villa Del Parque,Villa Del Parque,1,24,GCBA_URBANISMO,0.458,64,False,150,147,0.98,True,11.0,C · concentración extendida,0.0,,True,2022,100.0,False,2022:142,45.8,0.524,9.5,0.0,18,VILLA DEL PARQUE,2.17,169.8,True,True,False,False,2,77,1.887,C · concentración extendida,0.207,False
P004,141,144.021,0.979,Villa Lugano,Villa Lugano;Parque Avellaneda;Mataderos,3,22,GCBA_URBANISMO,0.411,57,False,152,152,1.0,True,9.0,C · concentración extendida,0.0,,True,2023,54.6,True,2023:77;2024:64,41.1,0.421,10.8,5.6,23,VILLA LUGANO,2.59,112.0,True,True,True,True,3,83,0.576,C · concentración extendida,0.674,False
P118,136,13.944,9.754,Retiro,Retiro;San Nicolas,2,30,GCBA_URBANISMO,0.39,73,False,150,146,0.973,True,1.0,A · concentración densa,100.0,,False,2024,100.0,False,2024:136,39.0,0.538,29.0,6.5,16,RETIRO,2.91,257.8,True,True,True,False,3,83,5.953,B · concentración media,0.239,True
P117,131,15.129,8.659,San Nicolas,San Nicolas,1,37,OVERTURE_FSQ_ATP,0.412,80,False,158,157,0.994,True,1.0,A · concentración densa,97.9,,False,2024,100.0,False,2024:131,32.1,0.632,5.1,7.3,17,SAN NICOLAS,2.7,307.9,True,True,True,True,3,89,5.883,B · concentración media,0.034,True
P062,129,42.854,3.01,Boedo,Boedo;Almagro;Balvanera,3,21,GCBA_URBANISMO,0.45,51,False,150,148,0.987,True,5.0,C · concentración extendida,67.9,,False,2023,96.1,True,2023:124;2024:5,45.0,0.427,24.4,7.9,14,BOEDO,2.39,138.1,True,True,True,True,3,71,1.657,C · concentración extendida,0.295,False
