barrio,cantidad_registros,cantidad_hojas,nivel_sensibilidad,uso_recomendado
Villa riachuelo,2,1,bajo (agregado sin PII),cobertura_territorial_interna
Villa Pueyrredon,2,2,bajo (agregado sin PII),cobertura_territorial_interna
Buenos Aires,2,2,bajo (agregado sin PII),cobertura_territorial_interna
Palermo Hollywood,2,1,bajo (agregado sin PII),cobertura_territorial_interna
Cdad. Autónoma de Buenos Aires,2,1,bajo (agregado sin PII),cobertura_territorial_interna
Food Truck,2,1,bajo (agregado sin PII),cobertura_territorial_interna
La paternal,1,1,bajo (agregado sin PII),cobertura_territorial_interna
GBA,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Haedo,1,1,bajo (agregado sin PII),cobertura_territorial_interna
"Caballito
Mataderos",1,1,bajo (agregado sin PII),cobertura_territorial_interna
Parque chacabuco,1,1,bajo (agregado sin PII),cobertura_territorial_interna
villa devoto,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Las Cañitas (Palermo),1,1,bajo (agregado sin PII),cobertura_territorial_interna
Av Federico Lacroze,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Av. Gaona,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Av. J.B. Alberdi,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Cuenca,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Hidalgo,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Canning,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Palermo soho,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Ituzaingo,1,1,bajo (agregado sin PII),cobertura_territorial_interna
olivos,1,1,bajo (agregado sin PII),cobertura_territorial_interna
city bell,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Colegiales/Palermo/Recoleta,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Tienda online,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Villa gral mitre,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Villa Gral. Mitre,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Parque patricios,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Ramos mejía,1,1,bajo (agregado sin PII),cobertura_territorial_interna
La matanza Ramos Mejía,1,1,bajo (agregado sin PII),cobertura_territorial_interna
San jose,1,1,bajo (agregado sin PII),cobertura_territorial_interna
"Olivos, Vicente Lopez",1,1,bajo (agregado sin PII),cobertura_territorial_interna
Palermo hollywood,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Cana,1,1,bajo (agregado sin PII),cobertura_territorial_interna
VILLA ORTUZAR,1,1,bajo (agregado sin PII),cobertura_territorial_interna
"Flores,Caba",1,1,bajo (agregado sin PII),cobertura_territorial_interna
"Caballito
Cañitas Palermo",1,1,bajo (agregado sin PII),cobertura_territorial_interna
Gregorio Laferrere,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Monte castro,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Maraderos,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Altos de podesta,1,1,bajo (agregado sin PII),cobertura_territorial_interna
SAN TELMO,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Villa santa rita,1,1,bajo (agregado sin PII),cobertura_territorial_interna
José Mármol/ Almirante Brown,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Vicente Lopez,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Villa general mitre,1,1,bajo (agregado sin PII),cobertura_territorial_interna
"Martinez, San Isidro",1,1,bajo (agregado sin PII),cobertura_territorial_interna
Palermo / Recoleta,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Palermo/ Recoleta/ Almagro,1,1,bajo (agregado sin PII),cobertura_territorial_interna
BalvaneraFa,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Las Cañitas,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Barrio Chino,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Villa Dévoto Caba,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Barrio chino,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Quilmes centro,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Ramos mejia,1,1,bajo (agregado sin PII),cobertura_territorial_interna
San martin,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Belgrano/Nuñez,1,1,bajo (agregado sin PII),cobertura_territorial_interna
colegiales,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Todas las sucursales de CABA,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Agronomía,1,1,bajo (agregado sin PII),cobertura_territorial_interna
san isidro,1,1,bajo (agregado sin PII),cobertura_territorial_interna
flores,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Balvabera,1,1,bajo (agregado sin PII),cobertura_territorial_interna
FLORESTA,1,1,bajo (agregado sin PII),cobertura_territorial_interna
SAAVEDRA,1,1,bajo (agregado sin PII),cobertura_territorial_interna
barrio norte,1,1,bajo (agregado sin PII),cobertura_territorial_interna
"Talar, provincia bs as",1,1,bajo (agregado sin PII),cobertura_territorial_interna
Sin barrio,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Centro,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Versalles,1,1,bajo (agregado sin PII),cobertura_territorial_interna
"Flores
Mataderos",1,1,bajo (agregado sin PII),cobertura_territorial_interna
Lomas de Zamora,1,1,bajo (agregado sin PII),cobertura_territorial_interna
"Mataderos
Flores",1,1,bajo (agregado sin PII),cobertura_territorial_interna
"Boedo , colegiales , Villa crespo , agronomia , caballito , barrió norte , barracas",1,1,bajo (agregado sin PII),cobertura_territorial_interna
Palermi,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Paternal,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Nueva  Pompeya,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Gregorio de Laferrere,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Salta,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Microcentro/belgrano,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Pompeya,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Los hornos,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Obera Misiones,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Dónde se necesiten,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Gran buenos aires moron,1,1,bajo (agregado sin PII),cobertura_territorial_interna
El palomar,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Capital Federal,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Campana,1,1,bajo (agregado sin PII),cobertura_territorial_interna
"Guernica, presidente peron",1,1,bajo (agregado sin PII),cobertura_territorial_interna
