polo_a,nombre_a,polo_b,nombre_b,local_id,barrio,comuna
R08,Villa Crespo,R21,La Paternal,LOC026689,Caballito,6.0
R08,Villa Crespo,R21,La Paternal,LOC014621,Caballito,6.0
R08,Villa Crespo,R21,La Paternal,LOC010281,Caballito,6.0
R08,Villa Crespo,R21,La Paternal,LOC003797,Caballito,6.0
R08,Villa Crespo,R21,La Paternal,LOC027085,Caballito,6.0
R08,Villa Crespo,R21,La Paternal,LOC014615,Caballito,6.0
R08,Villa Crespo,R21,La Paternal,LOC014616,Caballito,6.0
R08,Villa Crespo,R21,La Paternal,LOC014617,Caballito,6.0
R08,Villa Crespo,R21,La Paternal,LOC014618,Caballito,6.0
R08,Villa Crespo,R21,La Paternal,LOC027087,Caballito,6.0
R08,Villa Crespo,R21,La Paternal,LOC014619,Caballito,6.0
R08,Villa Crespo,R21,La Paternal,LOC014614,Villa Crespo,15.0
R08,Villa Crespo,R21,La Paternal,LOC018493,Villa Crespo,15.0
R08,Villa Crespo,R21,La Paternal,LOC026902,Caballito,6.0
R08,Villa Crespo,R21,La Paternal,LOC026895,Caballito,6.0
R08,Villa Crespo,R21,La Paternal,LOC014581,Paternal,15.0
R08,Villa Crespo,R21,La Paternal,LOC005513,Caballito,6.0
R08,Villa Crespo,R21,La Paternal,LOC027088,Caballito,6.0
R08,Villa Crespo,R21,La Paternal,LOC014620,Caballito,6.0
R08,Villa Crespo,R21,La Paternal,LOC014622,Caballito,6.0
R08,Villa Crespo,R21,La Paternal,LOC014623,Villa Crespo,15.0
R08,Villa Crespo,R21,La Paternal,LOC014624,Villa Crespo,15.0
