polo_id,calles_dominantes_antes,calles_dominantes_despues,cambio,diff,metodo
P024,Saenz (31); Beazley (6); Almafuerte (4); Echauri (3); Ventura De La Vega (2); Lynch (2),Saenz (31); Beazley (6); Almafuerte (4); Echauri (3); Ventura De La Vega (2); Lynch (2),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P005,Murguiondo (10); Riestra (6); Argentina (5); Larrazabal (4); Somellera (3); Delfin Gallo (3),Murguiondo (10); Riestra (6); Argentina (5); Larrazabal (4); Somellera (3); Delfin Gallo (3),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P038,San Martin (21); Cuenca (6); Francisco Beiro (4); Helguera (4); Salvador Maria Del Carril (4); Pareja (2),San Martin (21); Cuenca (6); Francisco Beiro (4); Helguera (4); Salvador Maria Del Carril (4); Pareja (2),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P020,Rivadavia (22); Corvalan (4); Ramon L Falcon (4); Lope De Vega (3); Basualdo (3); Guardia Nacional (2),Rivadavia (22); Corvalan (4); Ramon L Falcon (4); Lope De Vega (3); Basualdo (3); Guardia Nacional (2),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P022,Ricardo Balbin (8); Doctor Ricardo Balbin (6); Nunez (3); Melian (3); Crisologo Larralde (3); Washington (3),Ricardo Balbin (14); Nunez (3); Melian (3); Crisologo Larralde (3); Washington (3); Paroissien (2),SI,ANTES: Ricardo Balbin (8); Doctor Ricardo Balbin (6); Nunez (3); Melian (3); Crisologo Larralde (3); Washington (3) | DESPUES: Ricardo Balbin (14); Nunez (3); Melian (3); Crisologo Larralde (3); Washington (3); Paroissien (2),normalizar_calles + callejero_canonico + aliases declarados en el pedido
P003,Martiniano Chilavert (15); Guamini (8); F Fernandez De La Cruz (5); Canada De Gomez (5); Montiel (3); Lisandro De La Torre (2),Martiniano Chilavert (15); Guamini (8); F Fernandez De La Cruz (5); Canada De Gomez (5); Montiel (3); Lisandro De La Torre (2),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P012,Juan Bautista Alberdi (25); Larrazabal (5); Bragado (3); Pieres (3); Lisandro De La Torre (2); Martiniano Leguizamon (2),Juan Bautista Alberdi (25); Larrazabal (5); Bragado (3); Pieres (3); Lisandro De La Torre (2); Martiniano Leguizamon (2),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P107,Cordoba (16); Junin (9); Pasteur (5); Viamonte (5); Tucuman (4); Azcuenaga (1),Cordoba (16); Junin (9); Pasteur (5); Viamonte (5); Tucuman (4); Azcuenaga (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P092,Charcas (8); Paraguay (7); Araoz (7); Medrano (3); Raul Scalabrini Ortiz (3); Jeronimo Salguero (2),Charcas (8); Paraguay (7); Araoz (7); Medrano (3); Raul Scalabrini Ortiz (3); Jeronimo Salguero (2),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P088,Gascon (7); Honduras (7); Gorriti (7); Lavalleja (4); Julian Alvarez (4); Jose A Cabrera (3),Gascon (7); Honduras (7); Gorriti (7); Lavalleja (4); Julian Alvarez (4); Jose A Cabrera (3),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
