bloque,fila_tipo,concentracion_id,concentracion_nombre,polo_id,polo_nombre,borde_polo,atribuible,estado_soporte,fuente_geometria,superficie_concentracion_m2,superficie_soporte_m2,interseccion_m2,pct_concentracion_en_soporte,pct_soporte_cubierto,criterio
PUBLICABLE,INTERSECCION,P043,La Isla,R08,Villa Crespo,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R08,915659.1333,3354577.7039,155327.8317,16.9635,4.6303,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P043,La Isla,R21,La Paternal,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R21,915659.1333,3853388.4058,570396.6111,62.2936,14.8025,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P045,DoHo,R16,Donado-Holmberg,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R16,633596.1156,1189977.7103,97877.5026,15.4479,8.2252,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P045,DoHo,R17,Villa Urquiza,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R17,633596.1156,4466238.0978,153757.0888,24.2674,3.4427,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P046,Bulevar Mendoza,R16,Donado-Holmberg,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R16,1146625.8396,1189977.7103,231.1363,0.0202,0.0194,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P046,Bulevar Mendoza,R17,Villa Urquiza,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R17,1146625.8396,4466238.0978,1144781.3662,99.8391,25.6319,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P047,Caballito · Av. Avellaneda y Neuquén°,R10,Caballito,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R10,204936.8751,2253614.9559,53942.9128,26.3217,2.3936,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P048,Colegiales · Av. Álvarez Thomas y Elcano°,Z43,Colegiales,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#Z43,508406.0566,2290766.469,419235.3274,82.4607,18.3011,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P049,Caballito · entorno Hospital Italiano°,R10,Caballito,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R10,76252.9347,2253614.9559,22558.609,29.5839,1.001,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P051,Constitución°,R11,Boulevard Caseros,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R11,317000.734,500285.8016,19171.1257,6.0477,3.832,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P052,Villa Santa Rita · Av. Cuenca y Morón°,Z24,Flores · Avellaneda y Pasaje Ruperto Godoy,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#Z24,366864.2258,395122.3802,173290.124,47.2355,43.8573,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P053,Av. La Plata y Av. Pedro Goyena°,R10,Caballito,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R10,613061.0474,2253614.9559,450939.4125,73.5554,20.0096,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P054,Caballito · Av. Rivadavia y Curapaligüe°,R10,Caballito,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R10,44447.3483,2253614.9559,9107.7375,20.4911,0.4041,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P056,Primera Junta,R10,Caballito,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R10,743435.3012,2253614.9559,402493.3722,54.1397,17.8599,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P062,San Juan y Boedo,R14,Avenida Boedo,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R14,428536.3402,1794603.7926,290830.7616,67.8661,16.2058,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P063,Av. Gaona y Ángel Gallardo (Caballito y Villa Crespo)°,R08,Villa Crespo,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R08,675376.8952,3354577.7039,485270.958,71.8519,14.4659,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P063,Av. Gaona y Ángel Gallardo (Caballito y Villa Crespo)°,R21,La Paternal,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R21,675376.8952,3853388.4058,176083.3213,26.0719,4.5696,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P065,Las Cañitas,R01,Palermo,TRAZADO,SI,REAL_SISTEMA_PUBLICADO,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",820435.5169,3855092.0341,820435.5168,100.0,21.2819,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P065,Las Cañitas,R19,Federico Lacroze,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R19,820435.5169,3032830.6752,145028.4021,17.677,4.7819,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P066,Av. Montes de Oca,Z50,Barracas · Av. Montes de Oca,TRAZADO,SI,REAL_R15_CERRADO,ronda_15/geometria/perimetros_18.geojson#Z50,180187.762,506179.4217,109971.3622,61.0315,21.7258,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P068,Chacarita,R09,Chacarita,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R09,401361.2866,948108.532,274883.8908,68.4879,28.9929,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P068,Chacarita,R19,Federico Lacroze,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R19,401361.2866,3032830.6752,343745.551,85.6449,11.3341,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P068,Chacarita,Z43,Colegiales,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#Z43,401361.2866,2290766.469,19584.5104,4.8795,0.8549,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P071,Colegiales · Federico Lacroze y Zapiola°,R19,Federico Lacroze,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R19,58208.6378,3032830.6752,58208.6378,100.0,1.9193,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P071,Colegiales · Federico Lacroze y Zapiola°,Z43,Colegiales,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#Z43,58208.6378,2290766.469,58208.6378,100.0,2.541,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P072-1,Núñez · Av. Cabildo y Crisólogo Larralde°,R20,Garcia del Rio,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R20,51054.6975,610027.9937,2769.7728,5.4251,0.454,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P072-2,Colegiales · Av. Cabildo y Federico Lacroze°,R19,Federico Lacroze,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R19,71084.1499,3032830.6752,10252.5816,14.4232,0.3381,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P072-2,Colegiales · Av. Cabildo y Federico Lacroze°,Z43,Colegiales,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#Z43,71084.1499,2290766.469,40664.9976,57.2068,1.7752,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P072-4,Belgrano C,R05,Belgrano,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R05,390521.5237,396472.641,158057.7524,40.4735,39.866,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P072-5,Belgrano · Av. Cabildo y Virrey del Pino°,R05,Belgrano,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R05,58653.9554,396472.641,11863.0008,20.2254,2.9921,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P072-5,Belgrano · Av. Cabildo y Virrey del Pino°,Z43,Colegiales,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#Z43,58653.9554,2290766.469,29627.8137,50.5129,1.2934,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P072-6,Barrio Chino,R05,Belgrano,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R05,77370.5308,396472.641,47721.7549,61.6795,12.0366,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P072-7,Barrancas de Belgrano,R05,Belgrano,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R05,31417.0948,396472.641,31407.5182,99.9695,7.9217,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P074,Villa Crespo · eje Av. Corrientes°,R08,Villa Crespo,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R08,78379.3725,3354577.7039,78379.3725,100.0,2.3365,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P075,Chacarita · Av. Dorrego y Bonpland°,R09,Chacarita,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R09,112036.7381,948108.532,75100.8439,67.0323,7.9211,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P075,Chacarita · Av. Dorrego y Bonpland°,R19,Federico Lacroze,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R19,112036.7381,3032830.6752,108415.6566,96.768,3.5747,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P077,Villa Crespo,R08,Villa Crespo,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R08,86038.5886,3354577.7039,85216.9662,99.0451,2.5403,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P078,Palermo Hollywood,R01,Palermo,TRAZADO,SI,REAL_SISTEMA_PUBLICADO,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",1026088.9138,3855092.0341,1026088.9137,100.0,26.6165,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P078,Palermo Hollywood,R08,Villa Crespo,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R08,1026088.9138,3354577.7039,19120.3988,1.8634,0.57,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P078,Palermo Hollywood,R09,Chacarita,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R09,1026088.9138,948108.532,43008.4542,4.1915,4.5362,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P078,Palermo Hollywood,R19,Federico Lacroze,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R19,1026088.9138,3032830.6752,68119.5076,6.6388,2.2461,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P078,Palermo Hollywood,Z43,Colegiales,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#Z43,1026088.9138,2290766.469,13078.168,1.2746,0.5709,intersección > 0.01 m²; sin tope de filas
