anio,cantidad_programas,programas,estado_datos,fuentes_utilizadas,urls_fuentes,fecha_consulta_min,fecha_consulta_max,nota_metodologica,limitaciones,apto_dashboard
1998,1,Programa Bares Notables (Comision de Proteccion y Promocion),datos reales semiestructurados,F05,https://buenosaires.gob.ar/desarrolloeconomico/subsecretaria-de-bienestar-ciudadano/direccion-general-de-desarrollo-gastronomico | https://buenosaires.gob.ar/desarrolloeconomico/unidad-de-coordinacion-gestion-policitas-productivas/distritos-economicos/distrito-del-vino | https://buenosaires.gob.ar/gcaba_historico/cultura/patrimonio-de-la-ciudad/acciones/bares-notables | https://buenosaires.gob.ar/gcaba_historico/tramites/solicitud-de-permiso-de-area-gastronomica | relevamiento_manual_trazable,2026-06-10,2026-06-10,Conteo descriptivo de fichas F05 aptas por anio_inicio. No es serie temporal de impacto.,No usar como metrica de impacto; F05 es catalogo curado.,si
2021,1,Distrito del Vino,datos reales semiestructurados,F05,https://buenosaires.gob.ar/desarrolloeconomico/subsecretaria-de-bienestar-ciudadano/direccion-general-de-desarrollo-gastronomico | https://buenosaires.gob.ar/desarrolloeconomico/unidad-de-coordinacion-gestion-policitas-productivas/distritos-economicos/distrito-del-vino | https://buenosaires.gob.ar/gcaba_historico/cultura/patrimonio-de-la-ciudad/acciones/bares-notables | https://buenosaires.gob.ar/gcaba_historico/tramites/solicitud-de-permiso-de-area-gastronomica | relevamiento_manual_trazable,2026-06-10,2026-06-10,Conteo descriptivo de fichas F05 aptas por anio_inicio. No es serie temporal de impacto.,No usar como metrica de impacto; F05 es catalogo curado.,si
No disponible,2,"BA Capital Gastronomica | Permiso de uso de Area Gastronomica (veredas, calzadas y decks)",datos reales semiestructurados,F05,https://buenosaires.gob.ar/desarrolloeconomico/subsecretaria-de-bienestar-ciudadano/direccion-general-de-desarrollo-gastronomico | https://buenosaires.gob.ar/desarrolloeconomico/unidad-de-coordinacion-gestion-policitas-productivas/distritos-economicos/distrito-del-vino | https://buenosaires.gob.ar/gcaba_historico/cultura/patrimonio-de-la-ciudad/acciones/bares-notables | https://buenosaires.gob.ar/gcaba_historico/tramites/solicitud-de-permiso-de-area-gastronomica | relevamiento_manual_trazable,2026-06-10,2026-06-10,Conteo descriptivo de fichas F05 aptas por anio_inicio. No es serie temporal de impacto.,No usar como metrica de impacto; F05 es catalogo curado.,si
