referencia_id,nombre,familia,n_puntos,elongacion,ancho_p80_m,largo_p5_p95_m,motivo_na,frac_banda_50m,frac_banda_75m,frac_banda_100m,frac_banda_150m,frac_banda_200m,elongacion_rect,ha
R07,Costanera Norte,Polo con subzonas / multiparte,67,8.058477356817585,164.959119455577,3163.9770003100957,,0.22388059701492538,0.582089552238806,0.6417910447761194,0.746268656716418,0.8955223880597015,6.9198079390593135,38.5
R19,Federico Lacroze por tramos,Eje o corredor,185,7.137320483976702,147.662312838705,2269.3346559238544,,0.4,0.518918918918919,0.6378378378378379,0.8054054054054054,0.9243243243243243,4.800893741311454,89.49
R02,Avenida Corrientes,Eje o corredor,354,4.266020494117753,134.6685720400359,1228.6279392148563,,0.4209039548022599,0.519774011299435,0.6101694915254238,0.8954802259887006,1.0,3.676189735908036,49.67
R14,Avenida Boedo,Eje o corredor,245,4.075980473537581,280.6225908110367,2232.7846089358786,,0.2571428571428571,0.3510204081632653,0.4489795918367347,0.563265306122449,0.7061224489795919,3.1937735613708953,179.46
R04,Puerto Madero,Polo con subzonas / multiparte,354,3.4084230547389454,323.5704626892152,2699.974438842502,,0.022598870056497175,0.07062146892655367,0.15819209039548024,0.4491525423728814,0.5310734463276836,3.6874432117226794,314.54
R16,Donado-Holmberg,Eje o corredor,121,3.3799515724260387,193.36819865096498,1830.6760217182282,,0.1322314049586777,0.3305785123966942,0.4628099173553719,0.628099173553719,0.8099173553719008,3.327970674130085,119.0
R11,Boulevard Caseros,Eje o corredor,60,2.9451832627182135,219.1140977959699,1345.2873798477167,,0.2,0.26666666666666666,0.43333333333333335,0.6166666666666667,0.7333333333333333,2.546021526191265,50.03
R13,Abasto,Polo,373,2.6083239654829846,239.5937667532901,1401.4452530227463,,0.21715817694369974,0.32439678284182305,0.4262734584450402,0.579088471849866,0.675603217158177,2.434949315154697,109.0
R20,Garcia del Rio,Eje o corredor,61,2.537011108159899,121.03467460446207,710.7508768047418,,0.29508196721311475,0.5409836065573771,0.6721311475409836,0.8852459016393442,1.0,2.2812386403082505,28.38
R15,Devoto,Polo,422,2.4177570283389036,529.9492162455235,3057.0012160000715,,0.11137440758293839,0.15876777251184834,0.1943127962085308,0.3033175355450237,0.4099526066350711,1.7906246692116161,478.74
R01,Palermo,Polo con subzonas / multiparte,1358,1.9045391651465753,578.5813682823368,2695.839313909448,,0.06553755522827688,0.10382916053019146,0.14727540500736377,0.21207658321060383,0.28276877761413843,1.5381231773483333,271.29
R08,Villa Crespo,Polo,823,1.82584851573351,523.1351735619056,2307.0502213417485,,0.0911300121506683,0.1433778857837181,0.18469015795868773,0.2551640340218712,0.36330498177399756,1.6610209140367438,335.46
R10,Caballito,Polo con subzonas / multiparte,508,1.7647928005531386,463.0547395873115,2133.821672485811,,0.06692913385826772,0.10039370078740158,0.1377952755905512,0.2559055118110236,0.38779527559055116,1.6602347486034283,225.36
R21,La Paternal,Referencia dispersa,208,1.758803910933535,529.4821004013287,2490.4881240148134,,0.052884615384615384,0.08173076923076923,0.1201923076923077,0.17307692307692307,0.23557692307692307,1.466036512652308,321.01
R05,Belgrano,Polo,343,1.6958651240575293,382.3853156055422,1168.6025127768291,,0.24489795918367346,0.34402332361516036,0.4402332361516035,0.5685131195335277,0.6501457725947521,1.37217989833798,39.65
R22,Villa Pueyrredon,Referencia dispersa,198,1.6181148614349754,445.74248080624864,1779.829376379623,,0.06565656565656566,0.11616161616161616,0.18686868686868688,0.2727272727272727,0.4090909090909091,1.5319385128787508,305.55
R17,Villa Urquiza,Polo con subzonas / multiparte,528,1.5595221471280702,539.9559042406484,2222.19500999859,,0.09090909090909091,0.14962121212121213,0.20643939393939395,0.2935606060606061,0.3428030303030303,1.3902472969972657,446.62
R09,Chacarita,Referencia dispersa,202,1.4217619956195953,401.8638320614517,1576.2303207054215,,0.09900990099009901,0.15841584158415842,0.22277227722772278,0.3217821782178218,0.37623762376237624,1.714286821546372,94.81
R12,Centro / Microcentro segmentado,Area segmentada,1084,1.2984937846028415,584.9030213703963,1743.3288994955192,,0.06088560885608856,0.11162361623616236,0.16605166051660517,0.261070110701107,0.34501845018450183,1.2028967317193757,184.12
R06,Recoleta,Polo,714,1.2372249794887593,436.52357776792934,1358.7815526010725,,0.0350140056022409,0.06722689075630252,0.09943977591036414,0.1722689075630252,0.2605042016806723,1.24975008951666,140.52
R03,San Telmo,Polo,71,1.1640762870442707,167.0081136206142,577.4544011854675,,0.14084507042253522,0.352112676056338,0.5633802816901409,0.7464788732394366,0.8591549295774648,1.3141368789721413,25.37
R18,Esmeralda-Paraguay,Referencia dispersa,318,1.143413064344472,225.96730078423718,617.8867091960876,,0.18867924528301888,0.2830188679245283,0.4119496855345912,0.5943396226415094,0.7264150943396226,1.0004540475776356,48.39
