fuente,archivo_origen,id_registro_original,clave_habilitacion,nombre_original,rubro_original,descripcion_original,patron_detectado,categoria_panaderia,confianza_categoria,motivo_categoria,direccion_original,comuna_original,barrio_original,lat,lon,calidad_geo,fecha_habilitacion,observaciones
F01,f01_oferta_establecimientos_gastronomicos.csv,250,,LA ESTANCIA,CONFITERIA / PARRILLA,MODERNO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,SANTA FE AV. 3954,14,Palermo,-34.58289382,-58.41941144,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2340,,LA GIRALDA,CONFITERIA / MINUTAS,,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,CORRIENTES AV. 1473,1,San Nicolas,-34.60407459,-58.38754415,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2342,,LA HOGUER,CONFITERIA / PARRILLA,,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,MONTEVIDEO 562,1,San Nicolas,-34.60224268,-58.38955016,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2806,,LA PIZZA LOCA,RESTAURANTE / PIZZERIA,CLASICO PORTEÑO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,"LARRALDE, CRISOLOGO AV. 5890",12,Villa Urquiza,-34.56635914,-58.50232624,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2365,,LE CREP,CONFITERIA / MINUTAS,MODERNO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,"PERON, JUAN DOMINGO, TTE. GENERAL 826",1,San Nicolas,-34.60596409,-58.37817468,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2367,,LE GOURMET,CONFITERIA,,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,25 DE MAYO 621,1,San Nicolas,-34.60054582,-58.37124956,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,291,,LOS DIOSES,CONFITERIA / INTERNACIONAL,GRIEGA,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,MAIPU 371,1,San Nicolas,-34.60394528,-58.37658886,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,303,,MALUVA PIZZA,RESTAURANTE / PIZZERIA,MODERNO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,SANCHEZ DE BUSTAMANTE 2014,2,Recoleta,-34.5886942,-58.40735874,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,829,,MAXIMO BAR RESTAURANT,CONFITERIA / MINUTAS,MODERNO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,"MITRE, BARTOLOME 2158",3,Balvanera,-34.60836248,-58.39714994,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,830,,MC DONALD'S,CONFITERIA,,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,"URIBURU JOSE E., Pres. 3",3,Balvanera,-34.60934891,-58.39756886,f01_fuente,,
