fuente,archivo_origen,id_registro_original,clave_habilitacion,nombre_original,rubro_original,descripcion_original,patron_detectado,categoria_panaderia,confianza_categoria,motivo_categoria,direccion_original,comuna_original,barrio_original,lat,lon,calidad_geo,fecha_habilitacion,observaciones
F02,f02_habilitaciones_aprobadas_2015_2018.csv,241566,226776,,Fabricación de hornos; hogares y quemadores,,fabricacion_de_hornos,no_gastronomico,0.2,Fuera del alcance decidido: fabricacion_de_hornos,GARMENDIA AV. 4725,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,225606,235248,,"COM.MIN. ELAB. Y VTA.PIZZA, FUGA- ZZA, FAINA, EMPANADAS POSTRES, FLANES, CHURROS, GRILL",,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,HUMBOLDT 537,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,417493,235249,,CONFITERIA,,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,COSTA RICA 5468,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,417493,235249,,COM.MIN.DE HELADOS (SIN ELABORACION),,sin_elaboracion,despacho_sin_elaboracion,0.2,Fuera del alcance decidido: sin_elaboracion,COSTA RICA 5468,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,263878,235273,,COM.MIN.DE HELADOS (SIN ELABORACION),,sin_elaboracion,despacho_sin_elaboracion,0.2,Fuera del alcance decidido: sin_elaboracion,NOGOYA 3206,,,,,,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,428241,235390/1,,CONFITERIA,,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,EL SALVADOR 5090,,,,,,2017,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,368227,235444/1,,"COM.MIN.DE MASAS,BOMBONES, SANDWICHES (SIN ELABORACION)",,masas_bombones_sin_elaboracion,despacho_masas_sin_elaboracion,0.2,Fuera del alcance decidido: masas_bombones_sin_elaboracion,"ARTIGAS, JOSE GERVASIO, GRAL. 5224",,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,143949,235463,,"COM.MIN. ELAB. Y VTA.PIZZA, FUGA- ZZA, FAINA, EMPANADAS POSTRES, FLANES, CHURROS, GRILL",,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,VARELA AV. 1019,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,172259,235493/1,,"COM.MIN.DE MASAS,BOMBONES, SANDWICHES (SIN ELABORACION)",,masas_bombones_sin_elaboracion,despacho_masas_sin_elaboracion,0.2,Fuera del alcance decidido: masas_bombones_sin_elaboracion,ESTADO DE PALESTINA 642,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,365143,235555/3,,"COM.MIN. ELAB. Y VTA.PIZZA, FUGA- ZZA, FAINA, EMPANADAS POSTRES, FLANES, CHURROS, GRILL",,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,"ARTIGAS, JOSE GERVASIO, GRAL. 5723",,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,210103,235559/2,,COM.MIN.DE HELADOS (SIN ELABORACION),,sin_elaboracion,despacho_sin_elaboracion,0.2,Fuera del alcance decidido: sin_elaboracion,INDEPENDENCIA AV. 354,,,,,,2017,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,210103,235559/2,,"COM.MIN. ELAB. Y VTA.PIZZA, FUGA- ZZA, FAINA, EMPANADAS POSTRES, FLANES, CHURROS, GRILL",,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,INDEPENDENCIA AV. 354,,,,,,2017,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,72691,235590/1,,"COM.MIN. ELAB. Y VTA.PIZZA, FUGA- ZZA, FAINA, EMPANADAS POSTRES, FLANES, CHURROS, GRILL",,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,RIVADAVIA AV. 9377,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,110016,235596/1,,"COM.MIN.DE MASAS,BOMBONES, SANDWICHES (SIN ELABORACION)",,masas_bombones_sin_elaboracion,despacho_masas_sin_elaboracion,0.2,Fuera del alcance decidido: masas_bombones_sin_elaboracion,DEFENSA 1444,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,118789,235652/1,,"COM.MIN.DE MASAS,BOMBONES, SANDWICHES (SIN ELABORACION)",,masas_bombones_sin_elaboracion,despacho_masas_sin_elaboracion,0.2,Fuera del alcance decidido: masas_bombones_sin_elaboracion,REGIMIENTO DE PATRICIOS AV. 116,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,266194,235710/4,,"COM.MIN.DE MASAS,BOMBONES, SANDWICHES (SIN ELABORACION)",,masas_bombones_sin_elaboracion,despacho_masas_sin_elaboracion,0.2,Fuera del alcance decidido: masas_bombones_sin_elaboracion,NOGOYA 3201,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,153469,235775/1,,CONFITERIA,,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,SAN JUAN AV. 4200,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,147913,235776/2,,"COM.MIN. ELAB. Y VTA.PIZZA, FUGA- ZZA, FAINA, EMPANADAS POSTRES, FLANES, CHURROS, GRILL",,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,PAEZ 2501,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,195416,235778/6,,"COM.MIN.DE MASAS,BOMBONES, SANDWICHES (SIN ELABORACION)",,masas_bombones_sin_elaboracion,despacho_masas_sin_elaboracion,0.2,Fuera del alcance decidido: masas_bombones_sin_elaboracion,LINIERS VIRREY 573,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,125431,235781/3,,COM.MIN.DE HELADOS (SIN ELABORACION),,sin_elaboracion,despacho_sin_elaboracion,0.2,Fuera del alcance decidido: sin_elaboracion,"BROWN, ALTE. AV. 235",,,,,,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
