polo_A,nombre_A,polo_B,nombre_B,soporte_es_real_A,soporte_es_real_B,estado_soporte_A,estado_soporte_B,fuente_geometria_A,fuente_geometria_B,superficie_A_m2,superficie_B_m2,interseccion_m2,superficie_perdida_A_m2,superficie_perdida_B_m2,pct_superficie_A_en_B,pct_superficie_B_en_A,locales_compartidos,locales_A,locales_B,pct_locales_A_compartidos,pct_locales_B_compartidos,relacion_observada,direccion_contencion_observada,clase,gate_recomendacion
R01,Palermo,R13,Abasto,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#R13,3855092.0341,1090027.4886,0.0,3855092.0341,1090027.4886,0.0,0.0,0,1916,373,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,R14,Avenida Boedo,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#R14,3855092.0341,1794603.7926,0.0,3855092.0341,1794603.7926,0.0,0.0,0,1916,245,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,R15,Devoto,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#R15,3855092.0341,4787401.8397,0.0,3855092.0341,4787401.8397,0.0,0.0,0,1916,422,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,R16,Donado-Holmberg,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#R16,3855092.0341,1189977.7103,0.0,3855092.0341,1189977.7103,0.0,0.0,0,1916,121,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,R17,Villa Urquiza,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#R17,3855092.0341,4466238.0978,0.0,3855092.0341,4466238.0978,0.0,0.0,0,1916,528,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,R19,Federico Lacroze,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#R19,3855092.0341,3032830.6752,228620.5454,3626471.4887,2804210.1298,5.9304,7.5382,98,1916,532,5.1148,18.4211,SOLAPADA,NINGUNA,SOLAPADA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,R20,Garcia del Rio,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#R20,3855092.0341,610027.9937,0.0,3855092.0341,610027.9937,0.0,0.0,0,1916,102,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,R21,La Paternal,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#R21,3855092.0341,3853388.4058,0.0,3855092.0341,3853388.4058,0.0,0.0,0,1916,307,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,Z24,Flores · Avellaneda y Pasaje Ruperto Godoy,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#Z24,3855092.0341,395122.3802,0.0,3855092.0341,395122.3802,0.0,0.0,0,1916,107,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,Z27,Villa Santa Rita,True,False,REAL_SISTEMA_PUBLICADO,PROVISORIO_R15_NO,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#Z27,3855092.0341,2154579.1388,0.0,3855092.0341,2154579.1388,0.0,0.0,0,1916,182,0.0,0.0,DISJUNTA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R01,Palermo,Z28,Monte Castro,True,True,REAL_SISTEMA_PUBLICADO,REAL_R15_CERRADO,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",ronda_15/geometria/perimetros_18.geojson#Z28,3855092.0341,287297.4688,0.0,3855092.0341,287297.4688,0.0,0.0,0,1916,69,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
