polo_A,nombre_A,polo_B,nombre_B,soporte_es_real_A,soporte_es_real_B,estado_soporte_A,estado_soporte_B,fuente_geometria_A,fuente_geometria_B,superficie_A_m2,superficie_B_m2,interseccion_m2,superficie_perdida_A_m2,superficie_perdida_B_m2,pct_superficie_A_en_B,pct_superficie_B_en_A,locales_compartidos,locales_A,locales_B,pct_locales_A_compartidos,pct_locales_B_compartidos,relacion_observada,direccion_contencion_observada,clase,gate_recomendacion
R09,Chacarita,R21,La Paternal,True,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R09,geometria_r7/zonas_r7.geojson#R21,948108.532,3853388.4058,22460.2338,925648.2981,3830928.172,2.369,0.5829,4,202,307,1.9802,1.3029,SOLAPADA,NINGUNA,SOLAPADA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R09,Chacarita,Z43,Colegiales,True,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R09,geometria_r7/zonas_r7.geojson#Z43,948108.532,2290766.469,69125.578,878982.9539,2221640.891,7.2909,3.0176,21,202,441,10.396,4.7619,SOLAPADA,NINGUNA,SOLAPADA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R11,Boulevard Caseros,Z50,Barracas · Av. Montes de Oca,True,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,REAL_R15_CERRADO,geometria_r7/zonas_r7.geojson#R11,ronda_15/geometria/perimetros_18.geojson#Z50,500285.8016,506179.4217,15486.8388,484798.9628,490692.583,3.0956,3.0596,3,60,84,5.0,3.5714,SOLAPADA,NINGUNA,SOLAPADA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R12,Centro y Microcentro,Z46,Retiro,True,False,REAL_PREVIO_NO_INCLUIDO_EN_R15,PROVISORIO_R15_PARCIAL,geometria_r7/zonas_r7.geojson#R12,geometria_r7/zonas_r7.geojson#Z46,1841166.0714,4666034.0744,521607.4006,1319558.6708,4144426.6738,28.3303,11.1788,301,1084,715,27.7675,42.0979,SOLAPADA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R12,Centro y Microcentro,Z47,Monserrat y Congreso,True,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,REAL_R15_CERRADO,geometria_r7/zonas_r7.geojson#R12,ronda_15/geometria/perimetros_18.geojson#Z47,1841166.0714,137744.2373,86751.0302,1754415.0412,50993.2072,4.7117,62.9798,76,1084,133,7.0111,57.1429,SOLAPADA,NINGUNA,SOLAPADA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R13,Abasto,Z35,Balvanera · Once,True,False,REAL_PREVIO_NO_INCLUIDO_EN_R15,PROVISORIO_R15_NO,geometria_r7/zonas_r7.geojson#R13,geometria_r7/zonas_r7.geojson#Z35,1090027.4886,4344292.8134,596114.2537,493913.235,3748178.5597,54.688,13.7218,206,373,1253,55.2279,16.4405,SOLAPADA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R13,Abasto,Z37,Almagro,True,False,REAL_PREVIO_NO_INCLUIDO_EN_R15,PROVISORIO_R15_PARCIAL,geometria_r7/zonas_r7.geojson#R13,geometria_r7/zonas_r7.geojson#Z37,1090027.4886,4052581.4325,493913.235,596114.2537,3558668.1975,45.312,12.1876,167,373,868,44.7721,19.2396,SOLAPADA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R14,Avenida Boedo,Z37,Almagro,True,False,REAL_PREVIO_NO_INCLUIDO_EN_R15,PROVISORIO_R15_PARCIAL,geometria_r7/zonas_r7.geojson#R14,geometria_r7/zonas_r7.geojson#Z37,1794603.7926,4052581.4325,184303.6178,1610300.1748,3868277.8146,10.2699,4.5478,34,245,868,13.8776,3.9171,SOLAPADA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R14,Avenida Boedo,Z40,Nueva Pompeya y Parque Patricios,True,False,REAL_PREVIO_NO_INCLUIDO_EN_R15,PROVISORIO_R15_NO,geometria_r7/zonas_r7.geojson#R14,geometria_r7/zonas_r7.geojson#Z40,1794603.7926,8700695.4444,175339.689,1619264.1036,8525355.7554,9.7704,2.0152,27,245,546,11.0204,4.9451,SOLAPADA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R16,Donado-Holmberg,Z44,Villa Ortuzar,True,False,REAL_PREVIO_NO_INCLUIDO_EN_R15,PROVISORIO_R15_PARCIAL,geometria_r7/zonas_r7.geojson#R16,geometria_r7/zonas_r7.geojson#Z44,1189977.7103,1854585.591,101701.0312,1088276.6792,1752884.5599,8.5465,5.4838,16,121,201,13.2231,7.9602,SOLAPADA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R17,Villa Urquiza,Z44,Villa Ortuzar,True,False,REAL_PREVIO_NO_INCLUIDO_EN_R15,PROVISORIO_R15_PARCIAL,geometria_r7/zonas_r7.geojson#R17,geometria_r7/zonas_r7.geojson#Z44,4466238.0978,1854585.591,105267.0543,4360971.0435,1749318.5367,2.357,5.676,16,528,201,3.0303,7.9602,SOLAPADA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R19,Federico Lacroze,R21,La Paternal,True,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R19,geometria_r7/zonas_r7.geojson#R21,3032830.6752,3853388.4058,72488.7082,2960341.967,3780899.6976,2.3901,1.8812,5,532,307,0.9398,1.6287,SOLAPADA,NINGUNA,SOLAPADA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R19,Federico Lacroze,Z43,Colegiales,True,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R19,geometria_r7/zonas_r7.geojson#Z43,3032830.6752,2290766.469,670171.0058,2362659.6694,1620595.4631,22.0972,29.2553,115,532,441,21.6165,26.0771,SOLAPADA,NINGUNA,SOLAPADA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R19,Federico Lacroze,Z44,Villa Ortuzar,True,False,REAL_PREVIO_NO_INCLUIDO_EN_R15,PROVISORIO_R15_PARCIAL,geometria_r7/zonas_r7.geojson#R19,geometria_r7/zonas_r7.geojson#Z44,3032830.6752,1854585.591,67073.0642,2965757.611,1787512.5268,2.2116,3.6166,8,532,201,1.5038,3.9801,SOLAPADA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R20,Garcia del Rio,Z41,Nunez,True,False,REAL_PREVIO_NO_INCLUIDO_EN_R15,PROVISORIO_R15_PARCIAL,geometria_r7/zonas_r7.geojson#R20,geometria_r7/zonas_r7.geojson#Z41,610027.9937,4498573.1913,23203.1297,586824.864,4475370.0616,3.8036,0.5158,6,102,494,5.8824,1.2146,SOLAPADA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R21,La Paternal,Z44,Villa Ortuzar,True,False,REAL_PREVIO_NO_INCLUIDO_EN_R15,PROVISORIO_R15_PARCIAL,geometria_r7/zonas_r7.geojson#R21,geometria_r7/zonas_r7.geojson#Z44,3853388.4058,1854585.591,80481.9994,3772906.4065,1774103.5917,2.0886,4.3396,5,307,201,1.6287,2.4876,SOLAPADA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
Z24,Flores · Avellaneda y Pasaje Ruperto Godoy,Z27,Villa Santa Rita,True,False,REAL_PREVIO_NO_INCLUIDO_EN_R15,PROVISORIO_R15_NO,geometria_r7/zonas_r7.geojson#Z24,geometria_r7/zonas_r7.geojson#Z27,395122.3802,2154579.1388,5346.6703,389775.7099,2149232.4685,1.3532,0.2482,2,107,182,1.8692,1.0989,SOLAPADA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
Z40,Nueva Pompeya y Parque Patricios,Z54,Nueva Pompeya · eje Av. Saenz,False,True,PROVISORIO_R15_NO,REAL_CONCENTRACION_MEDIDA,geometria_r7/zonas_r7.geojson#Z40,borrador_polos/polos_publicables.geojson#P024,8700695.4444,504234.5331,504234.5331,8196460.9113,0.0,5.7953,100.0,95,546,95,17.3993,100.0,CONTENIDA,B_EN_A,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
Z52,La Boca · Almirante Brown y Necochea,Z53,La Boca · Caminito y Vuelta de Rocha,True,False,REAL_R15_CERRADO,PROVISORIO_R15_NO,ronda_15/geometria/perimetros_18.geojson#Z52,geometria_r7/zonas_r7.geojson#S_LABOCA,61375.7276,5039963.2303,61375.7276,0.0,4978587.5027,100.0,1.2178,3,3,295,100.0,1.0169,CONTENIDA,A_EN_B,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
