id_ubicacion,direccion,calle,altura,cuadra,barrio,habilitaciones,firma,pct_sin_fecha,partidas_matriz,direcciones_con_esa_partida,razones_sociales,anios_fuente
U7485C,BONPLAND 2430,BONPLAND,2430,2400,Palermo,24,"24|Cafe:6,Catering:6,Heladeria:6,Restaurante:6",100.0,1.0,1.0,1.0,2025
U23763,TRIUNVIRATO AV. 3916,TRIUNVIRATO AV.,3916,3900,Parque Chas,54,"54|Comida al paso:27,Panaderia:27",100.0,1.0,1.0,1.0,2025
UD1FDC,INDEPENDENCIA AV. 3001,INDEPENDENCIA AV.,3001,3000,Balvanera,180,"180|Bar:60,Cafe:60,Catering:60",100.0,1.0,1.0,1.0,2025
U84686,"SCALABRINI ORTIZ, RAUL AV. 2018","SCALABRINI ORTIZ, RAUL AV.",2018,2000,Palermo,66,"66|Bar:33,Cafe:33",100.0,1.0,1.0,1.0,2025
U802B5,HUMBOLDT 1877,HUMBOLDT,1877,1800,Palermo,80,"80|Bar:40,Restaurante:40",100.0,1.0,1.0,1.0,2025
UA9E35,"GOYENA, PEDRO AV. 1515","GOYENA, PEDRO AV.",1515,1500,Caballito,24,"24|Catering:8,Comida al paso:8,Heladeria:8",100.0,1.0,1.0,1.0,2025
UD5F36,GORRITI 5737,GORRITI,5737,5700,Palermo,68,"68|Bar:17,Cafe:17,Catering:17,Restaurante:17",100.0,1.0,1.0,1.0,2025
U353F2,CHILE 1137,CHILE,1137,1100,Monserrat,39,"39|Catering:13,Comida al paso:26",100.0,1.0,1.0,1.0,2025
U7A9A5,REPUBLICA ARABE SIRIA 3330,REPUBLICA ARABE SIRIA,3330,3300,Palermo,77,"77|Bar:7,Cafe:7,Catering:7,Comida al paso:14,Parrilla:14,Pizzeria:14,Restaurante:14",100.0,1.0,2.0,1.0,2025
U84FBA,REPUBLICA ARABE SIRIA 3328,REPUBLICA ARABE SIRIA,3328,3300,Palermo,77,"77|Bar:7,Cafe:7,Catering:7,Comida al paso:14,Parrilla:14,Pizzeria:14,Restaurante:14",100.0,1.0,2.0,1.0,2025
U3C3C7,LARREA 24,LARREA,24,0,Balvanera,30,"30|Bar:6,Cafe:6,Catering:6,Heladeria:6,Restaurante:6",100.0,1.0,1.0,1.0,2025
UF4599,LA PLATA AV. 380,LA PLATA AV.,380,300,Almagro,25,"25|Bar:5,Cafe:5,Catering:5,Pizzeria:5,Restaurante:5",100.0,1.0,1.0,1.0,2025
UA3ECF,TALCAHUANO 379,TALCAHUANO,379,300,San Nicolas,40,"40|Bar:10,Cafe:10,Catering:10,Restaurante:10",100.0,1.0,2.0,1.0,2025
UDB869,HUMBOLDT 1624,HUMBOLDT,1624,1600,Palermo,28,"28|Cafe:14,Restaurante:14",100.0,1.0,1.0,1.0,2025
U05DBA,"MONTES DE OCA, MANUEL AV. 1000","MONTES DE OCA, MANUEL AV.",1000,1000,Barracas,48,"48|Bar:8,Cafe:8,Heladeria:16,Pizzeria:8,Restaurante:8",100.0,,,,2025
UF1536,OLAVARRIA 1689,OLAVARRIA,1689,1600,Barracas,48,"48|Bar:8,Cafe:8,Heladeria:16,Pizzeria:8,Restaurante:8",100.0,1.0,2.0,1.0,2025
U868A5,"SCALABRINI ORTIZ, RAUL AV. 2401","SCALABRINI ORTIZ, RAUL AV.",2401,2400,Palermo,24,"24|Bar:6,Cafe:6,Catering:6,Comida al paso:6",100.0,1.0,2.0,1.0,2025
U2DFEF,GUEMES 3905,GUEMES,3905,3900,Palermo,24,"24|Bar:6,Cafe:6,Catering:6,Comida al paso:6",100.0,1.0,2.0,1.0,2025
UDF9C6,SARMIENTO 985,SARMIENTO,985,900,San Nicolas,180,"180|Bar:36,Cafe:36,Catering:36,Pasteleria:36,Pizzeria:36",100.0,1.0,2.0,2.0,2025
