categoria,cantidad,cuenta_en_total_activo,observacion
activos_sede_fija,13,si,cuentan en el total activo
itinerantes_activos,2,si,cuentan en el total activo
total_activos_para_conteo,15,si,numero principal del informe
cerrados_documentados,1,no,Mercado de los Carruajes
distritos_gastronomicos_no_mercado,2,no,Barrio Chino y Los Arcos del Rosedal
abasto_barrial_no_gastronomico,3,no,CAM 27 CAM 116 y Primera Junta
fuera_de_alcance,2,no,Mercado de las Pulgas (M1) y Distrito Arcos
pendientes,0,no,cierre V1.2
total_candidatos_revisados,26,parcial,universo acumulado revisado
