zona,eje_pdf,tasa_ocupacion_pct_pdf,var_interanual_pp_pdf,que_es_en_el_atlas,clave,eje_xlsx,locales_relevados,locales_ocupados,cuadras,densidad_comercial_por_cuadra,tasa_ocupacion_pct_xlsx,var_interrelevamiento_pp,var_interanual_pp_xlsx,d_tasa,d_var
Sur,Boedo,88.4,0.5,,BOEDO,Boedo,227,207,16.0,14.19,91.2,-2.7,-1.8,-2.8,2.3
Sur,Chilavert,90.4,-1.3,NO ESTA EN NUESTRA MATRIZ,CHILAVERT,Chilavert,306,271,22.0,13.91,88.6,-1.7,-2.4,1.8,1.1
Sur,Constitucion,91.4,2.1,,CONSTITUCION,Constitución,139,125,12.0,11.58,89.9,-0.8,1.5,1.5,0.6
Sur,Defensa,81.8,-5.4,"R03 San Telmo · TERCERA MAYOR CAIDA · ~4,6 locales vacios por cuadra · y su via E ya estaba en dos grupos",DEFENSA,Defensa,191,162,14.0,13.64,84.8,3.1,2.7,-3.0,-8.1
Sur,Flores Sur,87.9,-1.3,Bajo Flores · enclave coreano,FLORES SUR,Flores Sur,121,112,6.0,20.17,92.6,0.0,3.3,-4.7,-4.6
Sur,Mataderos,89.0,-0.1,,MATADEROS,Mataderos,221,204,16.0,13.81,92.3,0.0,-1.4,-3.3,1.3
Sur,Montes de Oca,87.1,-0.4,P008 Barracas · corredor 280-1702 y CCCA,MONTES DE OCA,Montes de Oca,146,131,14.0,10.43,89.7,-1.1,-1.9,-2.6,1.5
Sur,Parque Avellaneda,78.8,3.0,"SEGUNDA PEOR OCUPACION pero SUBE · ~4,9 locales vacios por cuadra",PARQUE AVELLANEDA,Parque Avellaneda,153,119,12.0,12.75,77.8,-0.3,2.5,1.0,0.5
Sur,Parque Patricios,90.2,0.0,,PARQUE PATRICIOS,Parque Patricios,204,182,14.0,14.57,89.2,-1.0,1.4,1.0,-1.4
Sur,Riestra,85.4,0.6,NO ESTA EN NUESTRA MATRIZ,RIESTRA,Riestra,201,171,14.0,14.36,85.1,-0.5,-0.6,0.3,1.2
Sur,Saenz,85.6,0.7,"Av. Saenz · La Blanqueada (1802-2017) · ~4,9 locales vacios por cuadra",SAENZ,Sáenz,212,185,12.0,17.67,87.3,-0.9,-1.5,-1.7,2.2
