partida_matriz,habilitaciones_distintas,domicilio
101527,4,LA RIOJA 2024
178778,4,ACOYTE AV. 671
206286,4,"URIBURU JOSE E., Pres. 690"
429892,4,LAS HERAS GENERAL AV. 3501
313001,4,"FRIAS, EUSTOQUIO, TTE. GENERAL 194"
415323,3,SAN BENITO DE PALERMO 1698
193029,3,JUJUY AV. 279
201164,3,PASCO 95
190015,3,BOULOGNE SUR MER 309
448006,3,ECUADOR 1418
170599,3,"SALGUERO, JERONIMO 572"
221398,3,"PELLEGRINI, CARLOS 651"
150469,3,BOEDO AV. 961
175908,3,HIDALGO 798
161587,3,COLOMBRES 801
170562,3,"SALGUERO, JERONIMO 504"
190134,3,PUEYRREDON AV. 724
263628,3,ALVAREZ JONTE AV. 3293
223686,3,TALCAHUANO 392
378465,3,CIUDAD DE LA PAZ 2701
427746,3,CHARCAS 4246
131956,3,RIVADAVIA AV. 6097
413237,3,GOROSTIAGA 1659
238565,3,FOREST AV. 1300
352113,3,BAUNESS 2589
447553,3,CORDOBA AV. 3285
427440,3,SANTA FE AV. 3940
220978,3,VIAMONTE 728
162398,3,SAN JUAN AV. 4243
351180,3,ANDONAEGUI 2191
429067,3,SANTA FE AV. 4502
88734,3,GANA 218
195758,3,REPUBLICA BOLIVARIANA DE VENEZUELA 2981
255100,3,CUENCA 2723
4102,3,LACARRA 95
214180,3,PERU 995
79682,3,ESCALADA AV. 609
331326,3,"LARRALDE, CRISOLOGO AV. 3565"
158931,3,BARCO CENTENERA del 157
47635,3,ASAMBLEA AV. 1382
214089,3,ESTADOS UNIDOS 414
150419,3,"CALVO, CARLOS 3699"
218824,3,SALTA 389
218843,3,BELGRANO AV. 1414
122886,3,REGIMIENTO DE PATRICIOS AV. 1584
47009,3,SOMELLERA 1745
266391,3,CUENCA 3388
347188,3,QUESADA 5050
329065,3,SUPERI 3002
440298,3,AYACUCHO 868
194009,3,RIVADAVIA AV. 3254
210465,3,DEFENSA 863
103710,3,CASEROS AV. 3207
1241,3,RIVADAVIA AV. 8253
451135,3,SANTA FE AV. 1185
26788,3,"ALBERDI, JUAN BAUTISTA AV. 4744"
156378,3,"GOYENA, PEDRO AV. 394"
263877,3,NOGOYA 3216
92299,3,CHASCOMUS 4325
441883,3,AYACUCHO 1793
313613,3,LASCANO 3994
430793,3,GODOY CRUZ 3255
362886,3,"CABEZON, JOSE LEON 2500"
178918,3,ROJAS 137
275360,3,SEGUROLA AV. 1548
453387,3,"ALVEAR, MARCELO T. De 1227"
431630,3,"SEGUI, JUAN FRANCISCO 3897"
148529,3,GAVILAN 51
444401,3,"DIAZ, CNEL. AV. 1625"
202703,3,"YRIGOYEN, HIPOLITO 2480"
222693,3,MONTEVIDEO 80
239242,3,"AVILES, VIRREY 3895"
205241,3,AYACUCHO 11
175482,3,ACOYTE AV. 70
305835,3,LOPE DE VEGA AV. 803
159691,3,CACHIMAYO 291
451326,3,SANTA FE AV. 1246
93971,3,LEOPARDI 13
216745,3,LIMA 31
283498,3,ALVAREZ JONTE AV. 5106
328929,3,CABILDO AV. 2980
170734,3,MEDRANO AV. 921
344997,3,MONROE 4290
122703,3,BRANDSEN 1151
458160,3,DIRECTORIO AV. 3173
147539,3,RIVADAVIA AV. 6061
