direccion,patron,anio_habilitacion,clave_habilitacion,partida_matriz,archivo_origen,comuna,misma_partida
PICHINCHA 2127,elaboracion_panaderia_venta_directa,2017,302717,108666,f02_habilitaciones_aprobadas_2015_2018.csv,4,si
PICHINCHA 2127,elaboracion_panaderia_venta_directa,2018,366885,108666,f02_habilitaciones_aprobadas_2015_2018.csv,4,si
RIO DE JANEIRO 582,elaboracion_panaderia_venta_directa,2016,245686,173894,f02_habilitaciones_aprobadas_2015_2018.csv,6,si
RIO DE JANEIRO 582,elaboracion_panaderia_venta_directa,2021,442202,173894,f02_habilitaciones_aprobadas_2021.csv,6,si
RIVADAVIA AV. 2027,elaboracion_panaderia_venta_directa,2016,249714/2,205460,f02_habilitaciones_aprobadas_2015_2018.csv,3,si
RIVADAVIA AV. 2027,elaboracion_panaderia_venta_directa,2017,336429/2,205460,f02_habilitaciones_aprobadas_2015_2018.csv,3,si
RIVADAVIA AV. 8851,elaboracion_panaderia_venta_directa,2019,345384,5221,f02_habilitaciones_aprobadas_2019.csv,10,si
RIVADAVIA AV. 8851,elaboracion_panaderia_venta_directa,2021,428572,5221,f02_habilitaciones_aprobadas_2021.csv,10,si
SALTA 389,elaboracion_panaderia_venta_directa,2016,245174/4,218824,f02_habilitaciones_aprobadas_2015_2018.csv,1,si
SALTA 389,elaboracion_panaderia_venta_directa,2018,363146/4,218824,f02_habilitaciones_aprobadas_2015_2018.csv,1,si
SAN JUAN AV. 1838,elaboracion_panaderia_venta_directa,2018,348040/1,180174,f02_habilitaciones_aprobadas_2015_2018.csv,9,si
SAN JUAN AV. 1838,elaboracion_panaderia_venta_directa,2022,461712/1,180174,f02_habilitaciones_aprobadas_2022.csv,9,si
SAN MARTIN AV. 2820,elaboracion_panaderia_venta_directa,2018,347172,234526,f02_habilitaciones_aprobadas_2015_2018.csv,11,si
SAN MARTIN AV. 2820,elaboracion_panaderia_venta_directa,2021,425404,234526,f02_habilitaciones_aprobadas_2021.csv,11,si
SAN MARTIN AV. 4935,despacho_de_pan,2016,243567,255312,f02_habilitaciones_aprobadas_2015_2018.csv,10,si
SAN MARTIN AV. 4935,despacho_de_pan,2017,343354,255312,f02_habilitaciones_aprobadas_2015_2018.csv,10,si
SAN PEDRITO AV. 30,despacho_de_pan,2016,249964/118,149947,f02_habilitaciones_aprobadas_2015_2018.csv,7,si
SAN PEDRITO AV. 30,despacho_de_pan,2018,360498/118,149947,f02_habilitaciones_aprobadas_2015_2018.csv,7,si
SANTA FE AV. 1185,elaboracion_panaderia_venta_directa,2016,247756/4,451135,f02_habilitaciones_aprobadas_2015_2018.csv,1,si
SANTA FE AV. 1185,elaboracion_panaderia_venta_directa,2018,361598/4,451135,f02_habilitaciones_aprobadas_2015_2018.csv,1,si
SANTA FE AV. 3534,despacho_de_pan,2017,341497/1,425916,f02_habilitaciones_aprobadas_2015_2018.csv,14,si
SANTA FE AV. 3534,despacho_de_pan,2018,356027/1,425916,f02_habilitaciones_aprobadas_2015_2018.csv,14,si
SANTA FE AV. 4502,elaboracion_panaderia_venta_directa,2016,240739/1,429067,f02_habilitaciones_aprobadas_2015_2018.csv,14,si
SANTA FE AV. 4502,elaboracion_panaderia_venta_directa,2016,300083/1,429067,f02_habilitaciones_aprobadas_2015_2018.csv,14,si
SANTA FE AV. 4502,elaboracion_panaderia_venta_directa,2016,DI-2016-03606877-   -DGHP,429067,f02_habilitaciones_aprobadas_2025.csv,14,si
SARANDI 665,elaboracion_panaderia_venta_directa,2018,346254/1,200814,f02_habilitaciones_aprobadas_2015_2018.csv,3,si
SARANDI 665,elaboracion_panaderia_venta_directa,2019,397085/1,200814,f02_habilitaciones_aprobadas_2019.csv,3,si
"SCALABRINI ORTIZ, RAUL AV. 1880",despacho_de_pan,2016,304676,433670,f02_habilitaciones_aprobadas_2015_2018.csv,14,si
"SCALABRINI ORTIZ, RAUL AV. 1880",despacho_de_pan,2017,352814,433670,f02_habilitaciones_aprobadas_2015_2018.csv,14,si
SOLIS 281,elaboracion_panaderia_venta_directa,2017,301719,218335,f02_habilitaciones_aprobadas_2015_2018.csv,1,si
SOLIS 281,elaboracion_panaderia_venta_directa,2021,441709,218335,f02_habilitaciones_aprobadas_2021.csv,1,si
TALCAHUANO 392,elaboracion_panaderia_venta_directa,2016,237328/29,223686,f02_habilitaciones_aprobadas_2015_2018.csv,1,si
TALCAHUANO 392,elaboracion_panaderia_venta_directa,2021,440875/29,223686,f02_habilitaciones_aprobadas_2021.csv,1,si
THAMES 880,elaboracion_panaderia_venta_directa,2017,304940,423272,f02_habilitaciones_aprobadas_2015_2018.csv,15,si
THAMES 880,elaboracion_panaderia_venta_directa,2024,509030,423272,f02_habilitaciones_aprobadas_2024.csv,15,si
TRES ARROYOS 2210,elaboracion_panaderia_venta_directa,2020,418415,236586,f02_habilitaciones_aprobadas_2020.csv,11,si
TRES ARROYOS 2210,elaboracion_panaderia_venta_directa,2022,455999,236586,f02_habilitaciones_aprobadas_2022.csv,11,si
TRES ARROYOS 2914,elaboracion_panaderia_venta_directa,2016,245482/9,250454,f02_habilitaciones_aprobadas_2015_2018.csv,11,si
TRES ARROYOS 2914,elaboracion_panaderia_venta_directa,2018,355726/9,250454,f02_habilitaciones_aprobadas_2015_2018.csv,11,si
VALLE 600,elaboracion_panaderia_venta_directa,2015,241645/3,157274,f02_habilitaciones_aprobadas_2015_2018.csv,6,si
VALLE 600,elaboracion_panaderia_venta_directa,2018,360814/3,157274,f02_habilitaciones_aprobadas_2015_2018.csv,6,si
"VIALE, LUIS 346",elaboracion_panaderia_venta_directa,2017,305933/1,228577,f02_habilitaciones_aprobadas_2015_2018.csv,15,si
"VIALE, LUIS 346",elaboracion_panaderia_venta_directa,2021,427403/1,228577,f02_habilitaciones_aprobadas_2021.csv,15,si
YERBAL 2381,despacho_de_pan,2018,360023/1,134813,f02_habilitaciones_aprobadas_2015_2018.csv,7,si
YERBAL 2381,despacho_de_pan,2018,367620/1,134813,f02_habilitaciones_aprobadas_2015_2018.csv,7,si
"YRIGOYEN, HIPOLITO 2480",elaboracion_panaderia_venta_directa,2016,251351/2,202703,f02_habilitaciones_aprobadas_2015_2018.csv,3,si
"YRIGOYEN, HIPOLITO 2480",elaboracion_panaderia_venta_directa,2019,401065/2,202703,f02_habilitaciones_aprobadas_2019.csv,3,si
